ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
301183.SZ,20260331,2.8228,25.7328,39.6423,32.1531,30.4585,0.2014
301183.SZ,20251231,10.0986,24.3142,80.2004,46.9024,32.0144,0.2641
301183.SZ,20250930,8.7741,26.1844,99.2019,53.9069,30.6972,0.4081
301183.SZ,20250630,5.6662,27.3329,107.355,42.2905,32.5403,-0.013
301183.SZ,20250331,2.2791,26.4464,155.4263,26.8796,31.7978,-0.2251
301183.SZ,20241231,6.6532,24.1348,271.0175,69.2027,34.9157,-0.8021
301183.SZ,20240930,4.7711,23.3137,379.1762,83.9076,32.0773,-0.562
301183.SZ,20240630,2.9306,22.0251,403.3487,84.9707,30.0279,-0.1975
301183.SZ,20240331,0.9583,18.8607,278.6239,105.3402,30.4728,-0.008
301183.SZ,20231231,-4.4661,4.8706,-285.1476,15.3628,26.9522,-0.5167
