ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
002167.SZ,20260331,1.1581,19.4993,7.4125,6.0711,18.3324,0.0481
002167.SZ,20251231,2.6998,16.8401,-70.1551,-19.3178,15.5946,0.5102
002167.SZ,20250930,2.2255,16.4849,193.6629,-24.8625,21.764,0.4361
002167.SZ,20250630,1.689,15.979,148.5775,-23.0702,27.0774,0.2272
002167.SZ,20250331,1.0905,17.9846,156.1104,-33.9293,34.7076,0.0595
002167.SZ,20241231,-6.9345,10.3913,327.8108,6.7186,37.2884,0.9272
002167.SZ,20240930,-3.1759,9.9586,-446.9507,16.5541,57.7399,0.4322
002167.SZ,20240630,-4.4017,12.2511,-325.1319,9.174,58.5483,0.2786
002167.SZ,20240331,-2.5532,12.5304,-441.416,24.9948,60.3603,0.0224
002167.SZ,20231231,-5.6501,13.9383,-178.3703,5.5612,59.972,0.0888
