ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
000591.SZ,20260331,0.6364,42.9097,-36.5131,-18.4022,56.3245,0.0061
000591.SZ,20251231,3.4401,46.5842,-32.8662,-17.9103,53.8901,1.0533
000591.SZ,20250930,4.4538,51.6952,-12.8224,-14.0781,53.763,0.7849
000591.SZ,20250630,2.6497,49.0141,-16.8923,-16.8413,55.6737,0.0889
000591.SZ,20250331,1.1759,44.7856,-17.6231,-7.8022,52.2204,0.0
000591.SZ,20241231,5.007,45.8557,-22.3777,-36.6998,51.9869,0.4825
000591.SZ,20240930,5.4068,48.4438,-10.9475,-25.9293,51.1581,0.3388
000591.SZ,20240630,3.4424,45.2898,-9.3728,-19.5665,51.5041,0.0471
000591.SZ,20240331,1.4352,43.9418,-9.833,-17.3899,50.3432,-0.0177
000591.SZ,20231231,6.6786,34.4204,13.7531,3.2915,51.2798,0.6082
