ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
920186.BJ,20260331,1.0542,31.7949,938.677,38.9021,32.1322,-0.3117
920186.BJ,20251231,4.9785,26.7775,337.768,19.3033,34.1679,1.12
920186.BJ,20250930,4.097,28.1359,359.0681,21.9301,36.3109,0.0944
920186.BJ,20250630,3.6851,28.1516,6066.6705,21.903,38.393,-0.12
920186.BJ,20250331,,26.1121,,,,
920186.BJ,20241231,5.4943,29.4351,-67.8923,27.0611,42.9967,1.03
920186.BJ,20240930,,31.4656,,,,
920186.BJ,20240630,4.3163,32.758,-99.6767,33.9475,40.2192,0.0893
920186.BJ,20231231,5.6024,33.019,20.5857,22.0176,40.2763,0.28
