ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
002364.SZ,20260331,0.8829,25.6678,22.889,7.7899,43.8657,-0.2506
002364.SZ,20251231,4.701,24.8422,15.274,8.9352,40.825,0.4317
002364.SZ,20250930,2.8541,23.5132,-15.594,20.2869,37.2626,-0.1241
002364.SZ,20250630,1.8546,23.3524,-30.1883,14.2674,38.0714,-0.1014
002364.SZ,20250331,0.7497,24.6035,84.3204,11.0655,33.9035,0.0182
002364.SZ,20241231,3.5099,26.1662,178.5185,26.1332,35.0691,0.8313
002364.SZ,20240930,2.4065,26.3501,183.379,20.5302,29.9754,0.3375
002364.SZ,20240630,1.6682,25.2072,524.5029,19.0639,29.8775,0.2076
002364.SZ,20240331,0.3882,20.1956,74.5143,29.9126,28.7938,0.0987
002364.SZ,20231231,0.868,26.3019,170.513,-3.3349,29.4241,0.4203
