ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
300085.SZ,20260331,-5.4369,29.8484,15.7181,7.4684,53.9007,-0.0259
300085.SZ,20251231,-30.919,30.2121,-2.9273,-12.0783,53.2112,0.1145
300085.SZ,20250930,-14.1457,30.1104,5.7092,-15.476,48.8716,0.0743
300085.SZ,20250630,-10.2345,28.5809,-6.912,-15.8787,51.4728,-0.0006
300085.SZ,20250331,-4.8242,26.1585,18.3769,-17.1411,50.5273,0.0283
300085.SZ,20241231,-21.6903,25.3198,-9.9833,-15.022,50.8202,-0.0346
300085.SZ,20240930,-10.1578,24.1174,-16.1759,-15.0315,47.6446,-0.0651
300085.SZ,20240630,-7.9582,22.7605,-82.9981,-18.9677,45.4289,-0.0709
300085.SZ,20240331,-4.8526,20.5454,-2669.5011,-23.0589,48.5041,-0.073
300085.SZ,20231231,-17.0327,22.7276,3.5416,-9.0553,53.1533,0.1816
