ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
603019.SH,20260331,0.7329,26.5575,22.1861,23.71,41.1353,-0.9505
603019.SH,20251231,8.6205,30.5835,13.8733,13.812,43.6713,0.8976
603019.SH,20250930,3.6528,24.4534,25.5473,9.6844,40.6665,-0.8856
603019.SH,20250630,,26.6496,29.3882,2.4142,40.7036,-0.9441
603019.SH,20250331,0.5273,26.0683,30.7869,4.3408,41.2407,-0.7639
603019.SH,20241231,7.0249,29.1612,4.0989,-8.3955,41.7578,1.8602
603019.SH,20240930,2.3527,26.8114,2.5652,3.6518,38.5883,-0.8726
603019.SH,20240630,1.9463,26.2455,3.3798,5.7652,38.2426,-0.6382
603019.SH,20240331,0.3024,26.8511,8.8648,7.8609,38.4956,-0.3372
603019.SH,20231231,7.1653,26.2608,18.882,10.3375,38.3821,2.3981
