ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
600961.SH,20260331,22.6744,24.0894,313.0,45.9024,40.7098,1.4139
600961.SH,20251231,32.1351,11.6459,43.0615,12.5876,48.9376,1.7153
600961.SH,20250930,21.4476,12.3379,47.5105,11.5375,48.5475,1.4939
600961.SH,20250630,13.1107,12.1867,57.8259,14.8876,47.7663,1.0148
600961.SH,20250331,6.3835,12.0386,74.0668,8.5034,51.7555,0.5595
600961.SH,20241231,18.2701,8.8181,28.6966,1.8194,50.8486,1.0315
600961.SH,20240930,13.2815,9.1066,9.5502,-2.8235,51.7835,0.8752
600961.SH,20240630,8.2612,9.663,-0.9943,-8.1046,53.8632,0.6892
600961.SH,20240331,3.5844,8.862,13.3662,-1.6445,55.2614,0.4773
600961.SH,20231231,29.2173,8.5335,23.9854,-4.9091,58.7741,0.6434
