ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
600026.SH,20260331,4.3325,42.6583,206.7376,26.9218,45.5505,0.689
600026.SH,20251231,8.1257,26.1254,-0.1102,2.6781,46.0861,1.352
600026.SH,20250930,6.7778,22.5203,-21.2248,-2.5484,50.4452,1.0118
600026.SH,20250630,,23.1765,-29.1553,-2.5476,52.8421,0.6455
600026.SH,20250331,1.9541,21.0699,-43.3114,-4.0069,51.1431,0.2157
600026.SH,20241231,11.3257,27.2368,19.3742,2.2464,51.8953,1.8079
600026.SH,20240930,9.5194,29.791,-8.0451,3.6838,48.3689,1.2078
600026.SH,20240630,7.4839,32.5298,-7.1134,0.6513,49.0462,0.7763
600026.SH,20240331,3.524,31.5662,12.7555,3.68,46.9498,0.299
600026.SH,20231231,12.5357,29.9438,129.9529,18.398,48.5274,1.8492
