ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
002125.SZ,20260331,2.7068,18.4619,88.7848,0.3322,35.0598,0.0033
002125.SZ,20251231,6.7017,21.5739,-28.431,0.4632,36.5103,0.3177
002125.SZ,20250930,4.6321,23.5356,-35.5596,1.3641,39.9351,0.3351
002125.SZ,20250630,3.6621,27.4353,-18.2093,4.794,41.2311,0.1631
002125.SZ,20250331,1.5044,24.8531,-2.5408,16.1532,37.0027,0.0033
002125.SZ,20241231,8.4413,27.4889,-10.5934,-11.6029,38.2824,0.6451
002125.SZ,20240930,8.0359,31.0754,2.3169,-13.2003,38.4759,0.3751
002125.SZ,20240630,5.0138,31.1125,4.1642,-14.7736,40.7699,0.2689
002125.SZ,20240331,1.7192,29.3106,20.0716,-22.5141,40.691,0.0037
002125.SZ,20231231,11.4649,21.5557,-10.6259,3.0072,43.439,0.6748
