ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
002602.SZ,20260331,6.2844,72.0479,50.1797,35.1855,28.0363,0.2633
002602.SZ,20251231,20.3268,69.9457,362.0161,67.5457,29.7306,1.162
002602.SZ,20250930,15.8856,69.854,141.6504,75.3079,30.7622,0.8451
002602.SZ,20250630,9.8789,69.4977,129.3322,85.5007,31.8733,0.5258
002602.SZ,20250331,5.3006,69.3621,107.1979,91.118,32.3094,0.1732
002602.SZ,20241231,6.6934,65.7983,131.5063,70.2706,34.6159,0.6771
002602.SZ,20240930,7.171,65.146,26.1652,58.6623,31.8607,0.4646
002602.SZ,20240630,4.5998,63.8464,33.4105,53.3333,30.5364,0.2535
002602.SZ,20240331,2.6121,63.0633,50.3178,40.9898,30.3293,0.1171
002602.SZ,20231231,1.7634,60.509,107.7669,15.7683,30.9158,0.4163
