ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
300136.SZ,20260331,1.322,21.7664,35.3545,14.3052,43.2391,0.0837
300136.SZ,20251231,8.4434,22.7889,7.1161,1.9005,41.4286,1.7459
300136.SZ,20250930,5.7273,21.5295,-8.7672,1.0665,43.4258,1.3376
300136.SZ,20250630,1.5621,18.6117,-20.1775,-1.1457,42.4205,1.1139
300136.SZ,20250331,0.7035,19.4667,-48.9042,-6.1949,42.8964,0.6507
300136.SZ,20241231,7.5057,20.8194,26.8895,15.8455,45.122,1.112
300136.SZ,20240930,5.7707,20.7992,3.0777,14.3092,47.549,0.7693
300136.SZ,20240630,2.158,18.7086,4.7741,11.9769,45.1974,0.6197
300136.SZ,20240331,1.6661,20.2905,4.492,6.967,45.1838,0.5579
300136.SZ,20231231,6.4641,22.0671,-19.6469,-12.1337,44.9139,1.8793
