ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
605589.SH,20260331,1.6102,26.2491,-14.206,8.6223,36.317,-0.6175
605589.SH,20251231,9.0205,25.178,15.981,9.1446,32.5886,0.3623
605589.SH,20250930,7.2102,24.8639,30.8134,12.8745,34.3891,-0.3908
605589.SH,20250630,4.8018,24.8203,51.1934,15.671,35.6536,-0.3344
605589.SH,20250331,1.9067,24.1332,50.4625,15.1404,33.8426,-0.8296
605589.SH,20241231,8.6401,23.6116,9.9369,9.8691,28.2899,0.2729
605589.SH,20240930,5.6924,23.1523,20.5297,6.8661,29.7254,-0.5033
605589.SH,20240630,3.2672,23.1593,5.8458,5.9516,25.6808,-0.5963
605589.SH,20240331,1.3095,22.8754,7.2983,5.1078,28.1102,-0.2018
605589.SH,20231231,8.3635,23.021,12.2292,-4.9825,28.8279,1.0847
