ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
300319.SZ,20260331,0.796,15.3957,-24.3811,10.7058,32.1646,0.1636
300319.SZ,20251231,4.9844,16.511,-5.1204,20.4416,33.8279,0.6795
300319.SZ,20250930,3.9255,16.5907,1.533,21.7075,34.6529,0.3579
300319.SZ,20250630,2.0878,15.7839,3.3016,23.6073,33.4767,0.0451
300319.SZ,20250331,0.907,16.4931,0.4872,15.437,33.1211,0.1706
300319.SZ,20241231,6.7453,20.5362,23.4869,4.4174,32.2854,0.5005
300319.SZ,20240930,5.0761,20.8245,31.1436,6.1098,31.6984,0.2478
300319.SZ,20240630,3.0397,19.9411,42.551,3.1079,29.0907,0.1328
300319.SZ,20240331,1.2727,18.7864,32.4808,0.6515,29.0571,0.0174
300319.SZ,20231231,5.6502,19.405,35.0721,-4.2806,28.0556,0.5073
