ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
600884.SH,20260331,1.4213,18.8551,898.8522,11.9853,48.6889,0.0564
600884.SH,20251231,1.7125,17.2742,224.7266,15.5639,49.1001,1.0043
600884.SH,20250930,1.0234,16.6296,1121.7238,11.4838,48.9328,1.047
600884.SH,20250630,0.7763,16.3236,1079.5941,11.776,49.3415,0.6504
600884.SH,20250331,0.0693,14.8112,145.2264,28.0357,50.2735,-0.0668
600884.SH,20241231,-3.4729,14.3517,-147.9705,-2.0477,51.2325,0.8255
600884.SH,20240930,0.1627,15.088,-98.0691,-9.6921,51.7441,0.4452
600884.SH,20240630,0.1069,14.5309,-98.2653,-6.8434,54.3215,0.3068
600884.SH,20240331,-0.3229,14.2037,-112.7981,-15.6676,52.303,0.1437
600884.SH,20231231,0.9574,16.2191,-71.5621,-12.1253,51.3298,-0.0877
