ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
600089.SH,20260331,1.9343,21.1192,13.3952,6.8019,56.5765,0.1044
600089.SH,20251231,6.422,18.8024,43.6873,-0.6087,55.6002,1.8466
600089.SH,20250930,5.4325,18.2662,27.5542,0.8415,56.1319,1.2094
600089.SH,20250630,4.0043,18.5173,5.0011,1.1138,56.6467,0.9177
600089.SH,20250331,2.2182,20.5862,-19.7409,-0.7874,56.7814,0.2085
600089.SH,20241231,6.059,18.1246,-61.3672,-0.3478,56.6315,2.5628
600089.SH,20240930,6.0777,18.9446,-54.1683,-1.7858,56.7994,1.4728
600089.SH,20240630,4.5953,19.8749,-59.4574,-4.5374,55.392,1.0533
600089.SH,20240331,3.047,23.3735,-57.8852,-11.1166,53.8782,0.494
600089.SH,20231231,17.2722,27.5324,-32.7474,1.7942,54.2821,5.1086
