ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
603078.SH,20260331,1.3374,27.1288,7.3126,16.8752,27.2644,0.0965
603078.SH,20251231,4.9955,27.4448,6.2652,12.2452,26.5814,0.472
603078.SH,20250930,3.7186,26.5547,-8.6639,10.9227,26.0919,0.3858
603078.SH,20250630,2.2941,25.5251,-15.5094,11.2953,27.6842,0.234
603078.SH,20250331,1.2617,25.3075,5.6084,12.9191,27.2258,0.0812
603078.SH,20241231,5.1913,25.3135,-6.2878,6.7318,27.9795,0.2755
603078.SH,20240930,5.1403,25.8675,-12.4484,6.3284,30.6108,0.1488
603078.SH,20240630,3.3672,26.1655,-12.1669,4.5355,33.1722,0.082
603078.SH,20240331,,25.6603,-5.2854,7.9927,32.0055,0.0273
603078.SH,20231231,6.1905,26.0556,-0.4596,9.6624,30.7384,0.3776
