ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
688361.SH,20260331,-2.2794,47.7718,-354.2775,34.6295,36.8283,-0.0578
688361.SH,20251231,-3.2433,49.9272,608.9104,48.7489,35.4942,-2.4622
688361.SH,20250930,-5.6142,51.9722,71.6713,47.9174,51.0229,-2.11
688361.SH,20250630,-4.4477,54.3064,73.0141,51.3886,48.955,-1.3755
688361.SH,20250331,-1.7672,58.0762,-143.6928,24.8921,45.555,-0.1523
688361.SH,20241231,-5.1192,48.8984,-108.212,54.942,42.0714,-0.9772
688361.SH,20240930,-5.2423,47.6942,-165.576,38.2115,39.7584,-0.6183
688361.SH,20240630,-4.8592,46.2306,-248.054,26.9088,38.8873,-0.2969
688361.SH,20240331,0.3204,54.3383,9.1595,45.6009,31.6466,-0.0641
688361.SH,20231231,2.1271,52.6193,1072.3836,74.9486,29.6691,-0.1626
