ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
300480.SZ,20260331,2.0587,49.5639,76.6513,35.199,17.464,-0.0646
300480.SZ,20251231,1.7994,54.9295,135.622,16.9071,35.3609,-0.0264
300480.SZ,20250930,1.5986,54.9003,167.4361,20.7518,32.6747,-0.0499
300480.SZ,20250630,0.8227,57.2632,138.9944,20.6286,31.9015,-0.0422
300480.SZ,20250331,1.2741,57.5238,19.1239,4.9912,32.4021,-0.1232
300480.SZ,20241231,-8.8939,57.2581,-263.3233,-13.2468,33.4625,-0.0557
300480.SZ,20240930,-4.2869,57.297,-172.6015,-21.1767,30.8485,-0.1266
300480.SZ,20240630,-4.9438,55.8017,-239.8989,-24.147,30.4637,-0.0778
300480.SZ,20240331,0.8067,54.7486,-31.5696,1.753,29.5633,-0.0758
300480.SZ,20231231,4.6453,53.6185,6.3322,7.5405,29.9774,-0.0666
