ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
688036.SH,20260331,2.9644,22.0047,42.9049,24.5795,55.1491,-3.5563
688036.SH,20251231,9.6758,19.1511,-53.4932,-4.5464,53.4754,1.2337
688036.SH,20250930,8.5763,19.4701,-44.973,-3.3339,57.7152,2.8806
688036.SH,20250630,4.4804,20.0917,-57.4754,-15.8602,54.6407,0.0091
688036.SH,20250331,1.6742,19.2691,-69.8681,-25.4508,51.9835,-0.6494
688036.SH,20241231,23.7227,21.2821,0.215,10.3065,54.8503,2.4973
688036.SH,20240930,16.941,21.591,0.4958,19.1285,56.2188,1.0992
688036.SH,20240630,13.2133,21.5278,35.705,38.0715,57.0644,-1.2326
688036.SH,20240331,7.1391,22.1525,210.2983,88.0988,58.2707,-0.1342
688036.SH,20231231,30.3098,24.4508,122.929,33.6917,60.5887,14.7416
