ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
300303.SZ,20260331,0.6939,20.6554,-27.6801,-4.4382,38.5731,-0.054
300303.SZ,20251231,5.4128,21.2133,-10.2008,12.9653,39.7394,0.4322
300303.SZ,20250930,3.6656,21.0006,-7.6573,17.0675,40.1447,0.2785
300303.SZ,20250630,2.3121,21.5121,-15.9297,18.9022,39.6638,0.2736
300303.SZ,20250331,1.379,22.7258,-3.2046,21.0814,37.6253,0.1104
300303.SZ,20241231,7.2158,25.7977,47.6308,21.5443,37.6594,0.2278
300303.SZ,20240930,5.1014,24.8423,25.8288,19.4374,42.8164,0.1866
300303.SZ,20240630,2.9656,24.2924,25.1985,20.4312,41.897,0.201
300303.SZ,20240331,1.5145,24.4227,25.4198,19.8816,42.7748,-0.0542
300303.SZ,20231231,5.7023,25.6779,22.273,11.0709,42.6486,0.1983
