ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
688082.SH,20260331,0.7824,45.638,-57.6636,13.0622,29.1262,-0.2998
688082.SH,20251231,11.5438,48.318,21.0496,20.7989,28.7064,0.4974
688082.SH,20250930,10.5746,49.5404,66.9866,29.4156,27.0818,-0.1229
688082.SH,20250630,8.4784,50.7285,56.9946,35.8333,37.9778,-0.299
688082.SH,20250331,3.1507,50.8723,207.2131,41.7281,36.0604,0.2111
688082.SH,20241231,15.7017,48.8643,26.6513,44.4765,36.7963,2.7719
688082.SH,20240930,10.8628,48.4658,12.7206,44.6166,36.8147,1.3009
688082.SH,20240630,6.5525,50.6775,0.8507,49.3284,38.1382,1.0242
688082.SH,20240331,1.2891,46.3153,-38.7619,49.6283,34.5965,-0.3558
688082.SH,20231231,14.4827,51.9898,36.2064,35.3387,33.7872,-0.9799
