ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
600110.SH,20260331,0.3855,11.7149,206.4171,80.4226,65.8546,0.1591
600110.SH,20251231,-3.5552,9.7354,15.1215,38.8603,62.9126,-0.266
600110.SH,20250930,-1.8758,10.0817,56.8973,29.2077,57.3313,0.3399
600110.SH,20250630,-1.4991,9.6218,54.4702,26.3718,56.4129,0.2881
600110.SH,20250331,-0.7709,9.933,60.089,34.2947,54.9763,0.0758
600110.SH,20241231,-7.0427,6.3114,-1387.591,15.437,55.309,0.3553
600110.SH,20240930,-4.4531,6.7329,-734.1049,7.1431,52.9717,0.0802
600110.SH,20240630,-3.2529,5.4906,-285.5656,9.823,52.5266,-0.0779
600110.SH,20240331,-1.6863,5.1473,-287.992,-4.7962,50.1,0.107
600110.SH,20231231,-2.1678,10.3957,-92.2463,-2.9248,49.8569,-0.6135
