ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
002371.SZ,20260331,4.224,40.7728,3.4182,25.7961,50.0095,1.032
002371.SZ,20251231,15.5098,40.1037,-1.7746,30.8505,51.0832,2.9443
002371.SZ,20250930,15.2019,41.4069,14.8297,32.9695,50.9032,-3.543
002371.SZ,20250630,9.8065,42.1684,14.9692,29.5097,52.489,-5.9705
002371.SZ,20250331,4.9261,43.0157,38.8025,37.9033,49.9958,-3.2362
002371.SZ,20241231,20.0909,42.8543,44.1674,35.1395,50.9576,2.9482
002371.SZ,20240930,15.9774,44.2215,54.7221,39.5137,52.8898,0.853
002371.SZ,20240630,10.2719,45.4968,54.5436,46.3808,53.541,-0.5508
002371.SZ,20240331,4.2938,43.3972,90.3974,51.3553,53.7143,0.4897
002371.SZ,20231231,16.2372,41.1002,65.7256,50.322,53.7063,4.4606
