ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
002920.SZ,20260331,3.1128,18.5964,-20.7404,-4.3696,49.3564,1.8697
002920.SZ,20251231,19.2612,19.0686,22.3809,17.8836,47.8555,4.8317
002920.SZ,20250930,14.1958,19.7007,27.0761,17.7171,45.7328,4.0716
002920.SZ,20250630,11.9552,20.3273,45.817,25.2455,54.8819,2.9508
002920.SZ,20250331,5.0008,20.5204,51.3234,20.26,52.9573,1.0929
002920.SZ,20241231,22.1142,19.8768,29.6197,26.0638,54.5436,2.6912
002920.SZ,20240930,17.1314,20.5502,46.4922,31.1282,53.0239,1.5118
002920.SZ,20240630,9.6795,20.3268,38.1106,34.0185,50.7943,1.1085
002920.SZ,20240331,4.544,19.3385,16.412,41.7807,54.1769,0.3576
002920.SZ,20231231,20.3274,20.4433,30.5702,46.7096,55.2565,2.0558
