ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
605358.SH,20260331,0.1624,15.5635,108.9153,21.8105,57.1575,0.0299
605358.SH,20251231,-2.515,9.8618,46.4006,16.1239,57.6319,1.2491
605358.SH,20250930,-1.9361,11.449,-98.6687,15.9443,57.6818,0.8424
605358.SH,20250630,,11.1377,-89.997,14.1837,57.5359,0.5129
605358.SH,20250331,-1.1133,13.0669,-28.32,20.8191,57.4699,0.175
605358.SH,20241231,-3.4743,8.7439,-504.1781,14.9701,56.8709,1.2079
605358.SH,20240930,-0.4591,13.5987,-129.3131,13.1035,52.3249,0.9553
605358.SH,20240630,-0.5296,12.3784,-138.5009,8.6897,50.9732,0.7922
605358.SH,20240331,-0.6238,9.8847,-283.3819,7.4067,49.4904,0.5348
605358.SH,20231231,-1.3046,19.7558,-90.44,-7.7052,47.769,1.517
