ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
688726.SH,20260331,2.7484,34.1768,-52.2346,-33.3124,60.7231,-0.0572
688726.SH,20251231,12.2511,29.3786,-14.5966,-4.6438,60.0616,0.3922
688726.SH,20250930,12.5837,31.2411,2.0684,0.4325,60.1746,0.112
688726.SH,20250630,9.2389,29.6635,12.9435,20.4862,62.3578,0.1821
688726.SH,20250331,5.7919,32.4106,44.362,36.4787,61.962,0.4147
688726.SH,20241231,21.5361,28.0423,77.5316,93.116,64.9819,0.1962
688726.SH,20240930,21.713,30.6405,316.4366,195.6679,72.5338,-0.26
688726.SH,20240630,13.8511,32.4103,191.1999,133.988,76.4269,0.21
688726.SH,20240331,,30.1001,,,,
688726.SH,20231231,19.234,30.4235,247.4948,134.3216,81.1919,3.26
