ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
000333.SZ,20260331,4.8127,25.5711,2.0312,2.5501,60.0182,1.9109
000333.SZ,20251231,18.7591,26.391,14.0336,12.1091,61.165,7.0218
000333.SZ,20250930,16.9857,25.874,19.5093,13.8199,60.5423,7.4277
000333.SZ,20250630,12.1219,25.6199,25.0407,15.5792,64.0422,4.8631
000333.SZ,20250331,5.7101,25.4471,38.0247,20.4869,61.9357,1.8695
000333.SZ,20241231,18.8297,26.419,14.2862,9.4378,62.3287,7.9039
000333.SZ,20240930,16.3418,26.756,14.3651,9.5717,61.1574,7.8783
000333.SZ,20240630,12.3176,27.0932,14.1062,10.2979,65.2044,4.7976
000333.SZ,20240331,5.5084,27.3202,11.9146,10.2206,63.0765,1.9987
000333.SZ,20231231,21.5653,26.4909,14.0979,8.1763,64.1387,8.2415
