ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
600497.SH,20260331,3.9568,20.883,33.8762,23.661,27.879,0.1748
600497.SH,20251231,6.523,15.8242,-19.9087,27.9579,27.7032,0.7465
600497.SH,20250930,7.8441,17.9552,-10.1827,17.2399,25.7989,0.6774
600497.SH,20250630,5.6208,19.7697,3.2661,7.6712,26.4437,0.4239
600497.SH,20250331,2.9356,19.7096,1.4025,10.1016,27.7096,0.2224
600497.SH,20241231,8.7049,17.7064,-14.2432,-14.7996,28.7662,0.4647
600497.SH,20240930,8.4468,19.5233,-15.7905,-11.1924,28.6742,0.5082
600497.SH,20240630,5.1738,17.7446,-22.2839,-11.0513,31.6039,0.3147
600497.SH,20240331,2.8701,20.0037,-22.5957,-19.5974,31.2008,0.1399
600497.SH,20231231,9.5922,16.0638,113.5283,0.2436,31.1337,0.6697
