ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
603045.SH,20260331,15.4696,16.3586,3635.071,92.6731,66.2068,-1.0378
603045.SH,20251231,9.9741,9.124,136.8025,30.8451,65.7985,-2.1875
603045.SH,20250930,4.0152,8.2031,33.5247,30.0251,64.7116,-1.506
603045.SH,20250630,,7.4837,-31.9358,33.4411,65.9278,-1.2484
603045.SH,20250331,-0.9712,6.2504,-174.3437,54.1809,64.5827,-1.2401
603045.SH,20241231,1.1266,8.5167,11.6885,37.936,61.21,-2.7152
603045.SH,20240930,2.6519,8.9608,23.9232,38.2233,63.1572,-0.9377
603045.SH,20240630,2.6655,9.7437,38.3194,39.9588,62.9287,-0.3577
603045.SH,20240331,0.431,9.149,-3.6432,25.501,58.6571,-0.1933
603045.SH,20231231,2.7131,10.0055,37.2429,27.309,58.8255,-0.8689
