ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
603228.SH,20260331,1.4366,18.7612,-28.3654,16.4099,46.7673,0.2437
603228.SH,20251231,8.3746,21.5892,5.2987,20.9227,44.0728,1.961
603228.SH,20250930,6.4418,21.6013,4.8316,22.0821,43.0527,1.551
603228.SH,20250630,,21.4022,-1.0634,20.9309,45.791,0.9743
603228.SH,20250331,2.0164,20.7831,2.1801,21.9036,41.6171,0.5356
603228.SH,20241231,10.496,22.7317,24.8624,17.6817,40.2523,2.4553
603228.SH,20240930,8.3702,23.7653,29.1434,17.1068,40.1536,2.0131
603228.SH,20240630,6.5287,24.0046,62.5567,18.2608,47.2068,1.3419
603228.SH,20240331,3.1475,24.6057,50.3044,17.1586,46.798,0.4687
603228.SH,20231231,10.5957,23.1687,-12.1581,2.3142,47.9406,2.5128
