ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
688469.SH,20260331,-1.1659,5.6853,51.526,13.1887,46.1328,0.0225
688469.SH,20251231,-8.8243,5.5097,38.1711,25.6663,44.6933,0.2546
688469.SH,20250930,-6.8393,3.9721,32.3204,19.2315,42.2352,0.0921
688469.SH,20250630,-4.3289,3.5433,63.8156,21.3792,40.6364,0.1388
688469.SH,20250331,-1.8724,3.6706,24.7102,28.1367,40.6222,0.0243
688469.SH,20241231,-11.3655,1.0296,50.8684,22.2483,41.6806,0.2695
688469.SH,20240930,-8.7807,-0.4314,49.7303,18.6836,48.9982,0.1446
688469.SH,20240630,-6.3491,-4.2465,57.5349,14.2736,53.5316,0.0786
688469.SH,20240331,-2.4144,-6.6753,51.537,17.1893,53.7285,0.0434
688469.SH,20231231,-28.4009,-6.8101,-79.9222,15.5904,49.7998,0.3711
