ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
301205.SZ,20260331,0.0493,43.4381,-83.7146,-9.5649,46.8485,-0.8334
301205.SZ,20251231,5.242,34.1342,10.9022,41.128,46.4737,-1.5893
301205.SZ,20250930,4.1001,34.4804,31.3856,31.7506,42.5465,-0.832
301205.SZ,20250630,1.2653,28.9257,14.0229,15.432,39.5355,-0.8372
301205.SZ,20250331,0.7804,25.1404,499.9173,31.0155,34.6935,0.1613
301205.SZ,20241231,4.8152,30.3521,250.994,47.1053,31.9266,0.9151
301205.SZ,20240930,3.7652,27.2743,190.8062,45.5697,29.3768,0.3749
301205.SZ,20240630,1.7883,28.0743,4.0816,46.1997,25.9256,0.1299
301205.SZ,20240331,-0.4754,13.1104,-117.6593,0.2697,18.6988,0.0637
301205.SZ,20231231,0.5742,25.1735,-76.6079,-26.5528,18.3238,0.9134
