ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
601318.SH,20260331,2.369,,-7.3808,-6.1838,89.8779,7.238
601318.SH,20251231,14.9063,,6.4538,2.0974,89.8119,37.52
601318.SH,20250930,14.8362,,11.4732,7.423,89.938,18.7847
601318.SH,20250630,7.8578,,-8.8074,1.0324,90.0582,19.24
601318.SH,20250331,3.2391,,-26.405,-5.1994,89.8422,13.3563
601318.SH,20241231,12.8465,,47.7931,12.5998,89.9311,21.62
601318.SH,20240930,12.393,,36.0914,9.9931,89.7908,22.9331
601318.SH,20240630,8.1114,,6.8413,1.265,89.6542,17.2
601318.SH,20240331,,,-4.284,-3.2347,89.6335,4.1163
601318.SH,20231231,9.8129,,-22.8299,3.7978,89.3903,20.34
