ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
688110.SH,20260331,3.7308,53.1696,333.4237,236.9496,6.327,0.0925
688110.SH,20251231,-6.6338,24.5149,-16.5439,43.7585,5.6762,-0.3577
688110.SH,20250930,-5.2753,21.9227,-12.1553,28.0869,5.2125,-0.3794
688110.SH,20250630,-3.9943,18.7644,-21.7814,28.8069,5.2975,-0.1275
688110.SH,20250331,-2.0675,14.1717,-33.1141,33.8957,3.6763,-0.1229
688110.SH,20241231,-5.978,13.9935,45.423,20.8006,4.5657,-0.6278
688110.SH,20240930,-4.5213,14.4202,10.9079,20.4407,5.28,-0.5526
688110.SH,20240630,-2.8782,13.3887,-21.321,11.1173,5.1236,-0.3913
688110.SH,20240331,-1.3751,12.0881,-29.4969,-14.2072,3.9095,-0.1576
688110.SH,20231231,-8.7872,11.8929,-265.1282,-53.7009,4.0027,-0.6823
