ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
603893.SH,20260331,7.029,43.042,57.1489,36.2152,17.8549,0.9086
603893.SH,20251231,25.4511,41.9495,74.8224,40.3562,21.5286,2.539
603893.SH,20250930,19.4229,41.7721,121.6539,45.4608,17.0845,2.013
603893.SH,20250630,13.7488,42.2922,190.6057,63.8507,21.0243,1.6838
603893.SH,20250331,5.6913,40.9463,209.6532,62.9532,15.1706,0.7437
603893.SH,20241231,16.2986,37.5876,341.0142,46.9355,16.8801,3.2929
603893.SH,20240930,10.6801,36.515,354.8956,48.4739,13.5172,2.0352
603893.SH,20240630,5.6635,35.9111,636.9897,46.439,16.1822,1.518
603893.SH,20240331,2.1324,34.6755,468.0883,64.8858,10.7256,0.506
603893.SH,20231231,4.224,34.2465,-54.6494,5.1657,12.7303,1.6294
