ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
300913.SZ,20260331,1.8105,21.07,48.9575,13.4681,12.3885,0.153
300913.SZ,20251231,11.7797,22.0861,51.1996,15.9673,12.6382,0.7766
300913.SZ,20250930,10.5205,20.441,53.8243,13.2783,20.3187,0.5716
300913.SZ,20250630,6.8696,20.1744,50.3048,14.2922,16.266,0.3098
300913.SZ,20250331,2.5732,17.9501,85.1184,21.5448,16.1806,0.187
300913.SZ,20241231,9.614,16.3697,55.897,17.735,18.1728,0.5369
300913.SZ,20240930,6.2371,15.9089,28.0538,17.1081,16.5077,0.2571
300913.SZ,20240630,3.8596,15.3898,24.4171,16.1168,15.2823,-0.1293
300913.SZ,20240331,1.4242,13.9472,11.9093,12.4285,13.6276,-0.067
300913.SZ,20231231,8.3162,15.0662,-24.7596,-3.4522,14.6719,0.476
