ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
600459.SH,20260331,2.6978,3.6257,9.1254,-0.8384,64.9104,-2.9197
600459.SH,20251231,8.2544,2.6339,10.5359,17.2021,59.382,-2.5305
600459.SH,20250930,5.9046,2.2794,12.4256,22.2126,64.021,0.2965
600459.SH,20250630,4.0219,2.1939,2.2951,20.9096,61.0117,1.4408
600459.SH,20250331,2.5049,2.5464,4.5427,25.6923,55.1854,-0.6475
600459.SH,20241231,7.8423,2.9239,23.7404,5.3632,49.3577,1.065
600459.SH,20240930,5.9078,2.7298,10.9577,5.3693,57.1639,-0.4393
600459.SH,20240630,4.3412,2.9724,9.6531,8.5726,53.6364,-1.4763
600459.SH,20240331,2.2483,2.841,23.4507,3.5507,50.6387,-1.7808
600459.SH,20231231,4.7625,3.121,15.0584,10.616,42.4679,0.9765
