ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
600115.SH,20260331,3.4423,8.2515,264.1206,10.9382,86.276,0.1565
600115.SH,20251231,-7.5334,5.2065,61.3583,5.9196,86.6851,1.7177
600115.SH,20250930,3.4058,7.2942,1623.913,3.7325,84.8577,1.295
600115.SH,20250630,-4.448,3.4734,48.302,4.0857,85.9193,0.5629
600115.SH,20250331,-2.7876,2.0775,-23.9103,0.6538,85.8422,0.1072
600115.SH,20241231,-12.2822,4.2552,48.4005,16.1107,85.0293,1.6739
600115.SH,20240930,-1.328,6.3216,94.6841,19.7765,85.2243,1.1833
600115.SH,20240630,-7.5846,2.7134,55.7686,29.6661,86.1011,0.4808
600115.SH,20240331,-2.4182,4.5407,79.0885,48.9632,85.3018,0.2125
600115.SH,20231231,-25.668,1.1254,78.1347,145.6344,85.408,1.1921
