ts_code,name,industry,market,list_date,exchange,trade_date,close,pe_ttm,pb,total_mv,dv_ttm,h1_ann_date,h1_end_date,h1_roe,h1_roe_dt,h1_roic,h1_profit_dedt,h1_ocfps,h1_eps,h1_debt_to_assets,h1_grossprofit_margin,h1_netprofit_margin,h1_or_yoy,h1_netprofit_yoy,h1_dt_netprofit_yoy,h1_ocf_to_or,h1_ocf_to_profit,h1_interestdebt,h1_netdebt,h1_current_ratio,h1_rd_exp,fy_ann_date,fy_end_date,fy_roe,fy_roe_dt,fy_roic,fy_profit_dedt,fy_ocfps,fy_eps,fy_debt_to_assets,fy_grossprofit_margin,fy_netprofit_margin,fy_or_yoy,fy_netprofit_yoy,fy_dt_netprofit_yoy,fy_ocf_to_or,fy_ocf_to_profit,fy_interestdebt,fy_netdebt,fy_current_ratio,fy_rd_exp,years,profit_positive_years,cash_positive_years,roe_median,roic_median,cash_conversion_median,gross_margin_std,profit_cagr5,revenue_cagr5,market_cap_yi,financial,quality_score,growth_score,valuation_score,score,eligible_basic,eligible,gate_failures
300144.SZ,宋城演艺,旅游景点,创业板,20101209,SZSE,20260918.0,5.75,19.7539,2.0698,1500103.01,4.3509,20260822.0,20260630.0,4.4253,4.1945,4.2531,328953332.27,0.1335,0.1322,12.4879,60.5504,37.1902,-11.4262,-14.3775,-15.63,0.3642,76.6238,154057798.77,-1322514607.97,5.7205,16689873.27,20260424.0,20251231.0,9.8814,9.4811,9.4387,784541542.76,0.589,0.312,14.5344,64.7554,37.7061,-6.6055,-22.0343,-23.99,0.6848,143.3369,379047361.94,-2563205240.0,5.5166,39029021.51,5,3,5,3.5573,3.6899,172.41305,8.625481272833419,,20.124498096031584,150.010301,False,25.859074204479114,8.0,13.943577777777778,47.80265198225689,False,False,总市值低于200亿元或缺失；五年扣非未连续为正；五年扣非ROE中位数低于10%；五年扣非利润CAGR低于5%或缺失；最新营收不增长或缺失；最新扣非利润下降超过10%或缺失
300694.SZ,蠡湖股份,汽车配件,创业板,20181015,SZSE,20260918.0,10.59,16.8575,1.5237,229877.5536,0.8026,20260821.0,20260630.0,1.8231,1.7949,1.5698,26997854.12,-0.0264,0.13,21.1356,18.717,4.3819,-7.7967,99.3008,103.59,-0.0092,-21.3444,104835443.09,-1794191.04,2.6076,26044802.3,20260418.0,20251231.0,8.5145,1.0628,7.3053,15316342.05,0.9437,0.57,23.8893,14.5267,8.6721,-7.403,120.9981,-73.25,0.1454,134.0834,113834135.88,-53392493.41,2.3466,64139998.85,5,4,5,3.5226,3.6378,212.01625,1.7251193834051022,-12.627998663921558,5.479845301885011,22.98775536,False,30.0,7.1919381207540045,10.590472222222221,47.78241034297622,False,False,总市值低于200亿元或缺失；五年扣非未连续为正；五年扣非ROE中位数低于10%；五年扣非利润CAGR低于5%或缺失；最新营收不增长或缺失
301119.SZ,正强股份,汽车配件,创业板,20211122,SZSE,20260918.0,25.61,38.104,3.4628,372881.6,0.3347,20260828.0,20260630.0,4.5867,4.2001,3.2861,44492757.96,0.274,0.33,26.5052,31.2217,20.4614,9.6855,-23.4385,-26.0,0.168,70.751,125689119.07,-685136022.26,2.9698,9727083.41,20260423.0,20251231.0,10.9098,10.2016,7.5597,105416099.57,1.4306,1.08,24.8739,31.4956,24.5487,8.7588,23.9769,24.89,0.324,114.0567,104475869.9,-685569820.45,3.2385,18118298.46,5,5,5,10.2016,7.9282,107.6102,2.6348818977328006,17.190709573294626,10.236503143890708,37.28816,False,30.9469069371663,11.532728321010563,5.284152777777778,47.76378803595464,False,False,上市不足五年；总市值低于200亿元或缺失；最新扣非利润下降超过10%或缺失
688049.SH,炬芯科技,半导体,科创板,20211129,SSE,20260918.0,41.8,33.14,3.4826,735746.88,0.8536,20260825.0,20260630.0,5.2328,5.001,4.227,103980911.16,0.0637,0.62,14.4415,48.7073,18.7788,28.3297,19.0703,21.04,0.0193,10.4743,79955075.2,-971320304.02,6.3451,142286106.64,20260330.0,20251231.0,10.4242,9.7952,8.3556,192241590.36,1.4472,1.18,13.1902,51.178,22.1803,41.4962,91.9501,144.73,0.2748,123.4869,88560194.88,-977657359.66,6.9806,241023577.49,5,5,4,4.2587,3.5788,123.4869,4.546390618721624,,17.580907223674934,73.574688,False,25.811396339489463,14.912362889469975,7.035888888888888,47.75964811784833,False,False,上市不足五年；总市值低于200亿元或缺失；五年扣非ROE中位数低于10%；五年扣非利润CAGR低于5%或缺失
603700.SH,宁水集团,电器仪表,主板,20190122,SSE,20260918.0,11.19,33.2013,1.3986,223757.3661,2.6568,20260827.0,20260630.0,1.7129,1.4953,1.6015,24161779.33,-1.4875,0.14,35.1444,21.2814,3.2726,19.5135,-48.3926,128.92,-0.3524,-984.2736,171986355.69,-51321410.22,2.1227,38292680.42,20260417.0,20251231.0,5.7661,2.9917,5.6642,48433600.46,0.6233,0.47,34.9874,20.4306,5.3498,16.1776,78.0875,22.88,0.0715,131.8328,651145.96,-427707918.0,2.1415,76872231.55,5,5,5,7.1281,7.7592,128.942,4.7323487757138105,-27.696309469473313,1.8555886430997148,22.37573661,False,28.837405824702678,9.644935457239885,9.276266666666665,47.75860794860923,False,False,总市值低于200亿元或缺失；五年扣非ROE中位数低于10%；五年扣非利润CAGR低于5%或缺失；五年营收连乘增速低于3%或缺失
300697.SZ,电工合金,铜,创业板,20170907,SZSE,20260918.0,14.99,32.2726,4.9893,648527.36,1.0674,20260822.0,20260630.0,8.8952,8.8738,6.1529,117085569.12,-0.2283,0.271,53.5152,9.5432,4.8283,72.0242,42.5548,41.72,-0.0401,-72.6315,880335344.78,343400634.91,1.6879,32716935.25,20260423.0,20251231.0,13.477,13.6027,9.9472,167465063.05,0.364,0.383,42.371,10.7895,5.2919,23.3417,26.9622,31.31,0.0492,83.1358,512013741.12,220491379.9,2.1454,61485286.72,5,5,3,12.1257,9.2852,83.1358,0.5415918435501033,9.061235041382808,14.762087876854736,64.852736,False,22.456745658263305,17.804430363984395,7.495894444444445,47.75707046669214,False,False,总市值低于200亿元或缺失；经营现金流正值年份不足四年
601766.SH,中国中车,运输设备,主板,20080818,SSE,20260918.0,6.0,12.365,0.9757,17219318.46,3.8333,20260820.0,20260630.0,4.5844,4.2502,3.913,7408122000.0,-0.5624,0.28,59.6774,22.266,7.3455,9.957,10.2804,11.22,-0.1226,-141.7106,28496950000.0,-15702315000.0,1.1963,7899819000.0,20260328.0,20251231.0,7.7332,6.439,6.9739,10975128000.0,0.8427,0.46,60.7682,21.3793,6.1874,10.7876,6.4034,8.2,0.0886,129.1859,28313734000.0,-39520890000.0,1.1796,18164229000.0,5,5,5,5.7632,6.5421,149.8978,0.6057818642052599,7.4896764030259355,3.7027886191103754,1721.9318460000002,False,24.43308888888889,8.52171189661245,14.791625,47.746425785501344,False,False,五年扣非ROE中位数低于10%
002290.SZ,禾盛新材,家用电器,主板,20090903,SZSE,20260918.0,67.22,82.3276,15.8511,1667810.8806,0.3124,20260729.0,20260630.0,13.4851,8.7411,11.1743,88293297.95,0.0699,0.55,49.9355,15.3657,10.8518,2.7449,40.4209,-9.07,0.0139,11.4643,239850231.79,-100132860.24,1.5482,41582439.24,20260327.0,20251231.0,18.4325,18.4169,15.427,163234764.91,0.6537,0.66,52.0842,14.8696,6.2025,1.1404,66.8606,64.45,0.0635,86.6164,152005552.97,-360522454.3,1.7225,92601058.69,5,5,5,14.1818,10.0052,175.7646,1.748572093738202,24.104599341940403,6.99042989491836,166.78108806,False,36.17939477124183,11.174873747388272,0.3905,47.74476851863011,False,False,总市值低于200亿元或缺失
002064.SZ,华峰化学,化纤,主板,20060823,SZSE,20260918.0,9.92,17.2306,1.7106,4922843.5488,1.5121,20260801.0,20260630.0,7.0667,7.031,6.4007,1972765699.79,0.2767,0.4,24.7381,21.8245,14.0063,16.7264,101.6448,118.11,0.0969,53.1498,1998616593.58,-4380543534.54,2.752,367281954.27,20260328.0,20251231.0,6.9063,6.6094,6.1242,1777697964.02,0.7537,0.37,25.8774,13.189,7.7339,-10.1487,-16.3248,-14.65,0.1546,157.919,2397330955.26,-4384121653.14,2.5459,637759713.31,5,5,5,10.1286,8.2222,89.1837,10.721832258201022,-4.122826932180256,10.446573795321946,492.28435488,False,23.821468627450983,12.523909518128779,11.39443611111111,47.73981425669087,False,False,五年扣非利润CAGR低于5%或缺失
603612.SH,索通发展,矿物制品,主板,20170718,SSE,20260918.0,16.6,13.1315,1.3666,826853.47,1.9772,20260822.0,20260630.0,6.9095,6.6222,3.7099,389216906.47,-3.0156,0.82,63.3374,12.2051,5.1603,25.3722,-22.3657,-25.45,-0.1442,-217.4289,10602528643.63,9196453718.4,1.326,78460925.47,20260423.0,20251231.0,13.7313,13.5578,7.913,737227095.77,1.4292,1.51,60.6221,13.9849,5.9337,28.6755,174.0925,365.19,0.0402,53.1115,8633508570.45,7055744336.16,1.3951,178954724.59,5,4,3,13.5578,7.913,14.9464,5.953973083328475,28.62629170780655,24.771382174444145,82.685347,False,15.267710613769374,20.0,12.4715,47.73921061376937,False,False,总市值低于200亿元或缺失；五年扣非未连续为正；最新扣非利润下降超过10%或缺失；经营现金流正值年份不足四年；五年经营现金流利润总额比中位数低于60%或缺失
