ts_code,trade_date,turnover_rate,volume_ratio,pe_ttm,pb,ps_ttm,dv_ttm,total_mv,circ_mv
300036.SZ,20260507,2.1897,0.8,156.3222,2.867,5.18,,756396.7571,673063.3877
000837.SZ,20260507,3.1726,2.25,238.1015,2.4013,2.8225,0.2595,1182756.5876,1164558.2576
688699.SH,20260507,11.1038,1.99,671.8438,5.8133,9.1704,,705954.601,705954.601
300413.SZ,20260507,1.8413,0.99,35.8359,1.5931,2.6823,1.0962,3754536.6757,2050551.8157
920855.BJ,20260507,0.5168,1.2,43.0746,2.0098,4.4849,1.341,117032.3995,104979.8026
002324.SZ,20260507,3.0898,0.55,56.0493,3.6572,1.6326,0.3199,1715222.4944,1197017.5334
300004.SZ,20260507,3.1227,1.14,685.1331,3.6918,12.6204,,654231.2741,654231.2741
300756.SZ,20260507,2.5237,0.91,76.9953,5.6332,11.5808,0.0943,835270.3328,695506.8471
300915.SZ,20260507,3.9361,1.36,,2.0798,3.1029,1.1217,319505.9015,146092.2522
001318.SZ,20260507,0.6942,0.63,37.0978,2.5472,8.015,1.3514,376503.12,376503.12
300373.SZ,20260507,3.5294,0.92,31.3037,4.3295,5.5857,0.5319,4290274.1262,4280724.4906
002303.SZ,20260507,2.4989,1.25,21.836,1.1761,1.3524,5.7101,528306.6713,333573.9647
603119.SH,20260507,13.6599,1.66,110.6536,15.2495,21.649,0.2199,3216208.0903,1802702.3887
605117.SH,20260507,1.6219,1.0,38.4182,12.1373,9.9418,1.912,14034638.4532,14034638.4532
688162.SH,20260507,1.3531,0.8,60.2921,1.8748,1.0364,,453529.3637,453529.3637
301276.SZ,20260507,5.8421,1.29,30.0052,1.5363,2.859,2.3301,333720.0,186089.088
920204.BJ,20260507,7.338,1.98,67.4793,3.2923,4.8953,0.3429,165003.6448,87483.8003
600595.SH,20260507,1.6255,0.84,14.4827,1.7832,1.2956,,3198308.281,3198308.281
603398.SH,20260507,0.2089,0.13,,83.1742,13.7572,,594956.1709,594956.1709
002588.SZ,20260507,2.4663,0.87,11.4491,1.5745,0.9615,2.8241,1244043.3384,927327.4956
002649.SZ,20260507,2.5523,1.0,143.3137,1.5179,0.9622,1.5848,631586.75,578725.7675
000672.SZ,20260507,2.2338,0.75,23.9054,1.551,3.1586,4.2614,1409500.9843,1409500.9843
688083.SH,20260507,2.7243,1.28,321.7124,3.704,10.6912,0.6169,978349.9007,978349.9007
000892.SZ,20260507,5.3815,0.79,,7.9559,9.2206,,480680.4318,348309.8625
600839.SH,20260507,2.02,1.0,55.0058,2.6509,0.3735,0.5656,4080759.8922,4079623.4298
603063.SH,20260507,9.6895,1.2,48.8359,4.4606,5.8677,0.233,2328415.0344,2328415.0344
688548.SH,20260507,8.5773,1.61,114.259,6.0189,14.7748,0.2985,3667927.8884,1921561.0256
000659.SZ,20260507,3.1184,1.41,,55.9166,5.3102,,514281.008,514281.008
300076.SZ,20260507,6.4643,0.91,,2.3285,21.5511,,195464.0,195464.0
600658.SH,20260507,1.2507,0.94,,1.43,5.3497,,579427.0533,579427.0533
002697.SZ,20260507,2.8101,1.71,14.8372,1.4042,0.7264,2.2593,692240.0,582978.1873
002376.SZ,20260507,1.5056,0.8,74.8715,1.5669,2.0407,2.6572,597384.5927,580117.3195
300661.SZ,20260507,4.936,0.79,91.3765,10.2044,13.2719,0.1703,5582968.9445,5388268.3376
002515.SZ,20260507,13.3946,1.8,659.9925,3.4841,29.6082,0.3968,915224.308,832997.7865
300677.SZ,20260507,3.1586,1.1,51.3602,1.88,3.3249,0.2812,3430907.0981,2439813.1785
300058.SZ,20260507,21.9775,2.0,271.4463,8.6995,0.9461,,6929126.9681,6712405.4443
002032.SZ,20260507,0.2121,0.94,17.9761,5.6443,1.6548,5.9161,3784081.626,3782359.3055
002614.SZ,20260507,2.6143,0.77,,0.8181,0.677,1.766,353036.3895,249756.4773
002816.SZ,20260507,4.6873,1.49,230.893,10.011,8.4773,,238500.0,238500.0
000713.SZ,20260507,1.4087,0.78,85.3449,1.6332,1.7981,0.2404,510860.4634,392969.5872
600420.SH,20260507,0.42,0.7,17.9921,0.929,1.4658,3.112,1292890.4751,1292890.4751
301286.SZ,20260507,3.0254,1.15,96.5163,11.3351,20.9405,0.1381,2296574.0,925743.7445
600423.SH,20260507,1.6922,0.3,,4.7585,19.2776,,252387.6282,252387.6282
600491.SH,20260507,0.0562,0.01,,0.3962,0.6403,,275356.4319,275356.4319
300746.SZ,20260507,1.6546,0.75,39.6772,3.3514,2.1974,,276077.9751,273396.0854
688282.SH,20260507,2.6224,1.17,,6.1473,25.3076,,774664.0,774664.0
920200.BJ,20260507,94.2249,,65.6211,8.3256,7.1949,,954867.12,227707.038
601133.SH,20260507,7.8669,1.63,68.68,4.3569,3.3342,0.8397,1318990.0232,1309918.0865
301033.SZ,20260507,3.4571,1.23,34.0012,4.5481,9.985,1.0645,372929.9864,313439.0625
002278.SZ,20260507,3.3864,0.67,116.9854,2.9351,5.0948,0.4392,412712.2247,353383.5225
301128.SZ,20260507,10.3226,1.3,146.1893,22.4833,10.4584,0.21,2110719.1144,1856700.2689
300869.SZ,20260507,1.2293,0.92,,3.0328,11.259,1.9547,513906.4552,337833.4318
601633.SH,20260507,0.2142,0.85,18.7508,1.9259,0.7453,2.2672,16987376.6465,12325348.28
603922.SH,20260507,0.2426,0.07,,3.4591,5.0348,,321843.2,321843.2
600789.SH,20260507,2.162,1.83,100.6001,1.6929,1.5324,1.1505,874823.8442,752186.482
600916.SH,20260507,2.0251,1.38,50.2422,2.096,0.2064,3.8419,1530480.0,1530480.0
003016.SZ,20260507,0.886,0.63,119.8012,1.3249,2.3718,,357022.8486,348839.5329
605189.SH,20260507,6.7653,1.43,22.0564,1.6786,0.8865,0.8302,320228.1819,320228.1819
301421.SZ,20260507,16.3121,1.0,352.7759,10.3686,26.9993,0.1388,1250680.144,500502.1059
300213.SZ,20260507,2.4945,0.8,,2.4812,5.6425,0.5848,508181.7843,472149.6971
001285.SZ,20260507,4.1254,1.17,27.4198,2.4807,3.9094,,960349.7207,221177.7841
002491.SZ,20260507,4.5027,0.35,,9.1652,6.0524,,2309929.671,2209408.5397
688234.SH,20260507,3.2049,1.05,,7.5705,37.8584,,5385081.2609,4774949.1209
301255.SZ,20260507,9.9551,1.47,115.115,4.2838,9.9048,0.4756,457569.28,114392.32
002766.SZ,20260507,1.6808,0.86,,3.8394,6.6289,,409526.6262,406089.245
002115.SZ,20260507,21.4469,1.05,1748.3168,6.0145,0.8579,,1242438.7206,1152363.555
300904.SZ,20260507,7.1637,1.75,,7.625,4.4737,,445518.793,135306.793
688700.SH,20260507,4.448,0.85,128.6625,10.162,15.996,0.1562,1907381.4931,1907381.4931
600736.SH,20260507,18.1109,0.98,51.4669,1.4904,2.0998,0.1865,1110997.6553,1110997.6553
688311.SH,20260507,3.0255,0.78,,3.5339,12.1883,,628778.8084,628778.8084
601007.SH,20260507,3.1393,0.57,45.441,1.8369,1.6593,0.9198,296790.0,296790.0
600059.SH,20260507,1.3619,1.17,35.0762,1.3383,4.3139,0.9227,790307.2721,790307.2721
000932.SZ,20260507,1.4587,1.05,14.277,0.5743,0.2665,2.1411,3207021.0869,3207021.0869
002841.SZ,20260507,0.8746,0.82,23.6485,1.9852,1.0165,1.9222,2597533.7459,1938403.6289
688475.SH,20260507,0.9452,1.29,41.6061,4.2577,4.2854,1.0839,2542837.5,2542837.5
300987.SZ,20260507,3.157,1.2,151.2074,3.7824,10.0681,0.7102,305127.68,305127.68
688138.SH,20260507,3.0538,1.28,54.5469,3.6808,8.2048,0.7803,1043247.2,1043247.2
688018.SH,20260507,4.1869,1.21,55.5793,6.6731,11.2979,0.2225,3000049.8865,3000049.8865
603920.SH,20260507,6.4771,1.34,78.6629,6.5328,7.4863,1.5246,4253656.4473,4253656.4473
601377.SH,20260507,1.2715,1.19,16.7784,0.9301,4.4973,2.459,5267952.2493,5267952.2493
300916.SZ,20260507,4.8462,0.84,75.3572,4.0513,3.547,1.0438,554275.8348,357969.2958
300039.SZ,20260507,0.8723,0.81,23.5308,1.3043,5.8904,2.2298,609818.0,534567.9898
003026.SZ,20260507,18.7123,0.82,132.4618,9.6942,14.7607,0.2935,660408.805,493147.088
688351.SH,20260507,1.9265,0.99,191.8766,6.6138,24.577,,1195324.0,1195324.0
301099.SZ,20260507,13.0564,1.03,50.9747,6.581,1.2638,0.3442,944527.6039,578185.6279
300132.SZ,20260507,4.3305,0.67,26.6577,3.1349,2.025,,461823.3121,454224.6679
605166.SH,20260507,2.5589,0.84,36.7921,1.8159,0.7013,1.1595,360998.4528,360998.4528
600326.SH,20260507,1.4875,0.63,429.6847,3.2962,3.6155,,1291616.273,1291616.273
001373.SZ,20260507,6.6219,1.19,,3.1734,4.5333,0.1539,267741.4894,129147.4913
920029.BJ,20260507,0.8341,0.67,17.2169,2.5354,3.5011,2.172,959151.3223,933305.6173
301337.SZ,20260507,3.7934,0.97,,2.7163,11.6376,,294469.2,125163.752
300390.SZ,20260507,10.8547,0.94,67.464,7.4773,10.1839,0.5402,9227979.7531,7467548.2897
301100.SZ,20260507,1.5921,0.47,,1.8489,3.3061,,373000.0,163187.5
300706.SZ,20260507,26.3329,1.39,,11.1252,4.9442,,767427.304,568660.3195
600730.SH,20260507,0.724,0.23,,3.4592,82.8858,0.1011,580202.786,580202.786
301520.SZ,20260507,3.2281,1.06,115.3622,1.8514,12.0084,,280600.0014,98792.4569
300604.SZ,20260507,6.2335,0.86,74.9401,23.1438,20.1332,0.0535,11787497.8481,9094379.2623
920675.BJ,20260507,2.3522,1.29,40.7483,2.633,3.3352,2.0704,166310.424,76331.2624
301127.SZ,20260507,1.5846,0.76,44.9896,2.8455,5.297,,963252.7706,934909.7788
601298.SH,20260507,0.1804,0.78,11.0919,1.235,3.0366,3.8761,5816025.6,4831299.2
601117.SH,20260507,2.2043,1.26,7.896,0.7522,0.2712,3.3727,5178452.9054,5162681.123
603919.SH,20260507,0.6791,0.75,27.5356,2.5323,3.0849,3.8845,895313.8947,895313.8947
300778.SZ,20260507,6.4518,1.26,,2.3135,22.2432,,277995.4113,277921.1867
600027.SH,20260507,1.3509,0.94,9.9891,1.1845,0.4559,4.132,5922004.8338,4699995.4368
300353.SZ,20260507,2.4175,0.75,126.7906,5.3498,12.5479,,1179979.4386,1036377.533
603755.SH,20260507,1.8659,1.01,34.0837,3.8044,5.8665,1.6825,288839.4716,288839.4716
301023.SZ,20260507,4.2048,1.33,49.5659,4.0436,12.6871,2.6206,334944.0953,186554.8195
600959.SH,20260507,1.2658,1.36,91.9955,0.8796,2.5534,0.55,2000287.0744,2000287.0744
002163.SZ,20260507,2.5654,0.63,,17.7244,3.0185,,1053662.4601,1002025.4471
002065.SZ,20260507,1.659,1.21,57.0217,2.2289,2.1736,0.5807,2759920.3249,2503720.5398
688041.SH,20260507,2.071,1.07,291.2573,33.7907,49.5926,0.076,79399389.1886,79399389.1886
603016.SH,20260507,4.064,0.77,148.913,9.7551,13.684,0.8489,825547.52,825547.52
920856.BJ,20260507,1.8081,0.85,235.0409,2.5369,3.1784,0.7267,119003.4116,66378.1063
002926.SZ,20260507,0.8278,0.94,14.6456,0.9073,4.8744,1.4335,2289000.0,2289000.0
000776.SZ,20260507,1.0684,0.65,10.5836,1.2017,4.1481,2.3618,16565197.9468,12498872.3914
600265.SH,20260507,1.5974,1.03,,14.1624,18.4923,,299838.0,299838.0
600702.SH,20260507,1.2294,0.94,135.3022,2.0516,3.3927,0.9641,1467133.8975,1466516.6375
002201.SZ,20260507,15.4146,1.08,105.1693,7.9684,5.2241,0.1656,944220.9132,872331.5444
603722.SH,20260507,1.9813,1.54,,4.3791,7.3445,0.2464,388437.481,380407.981
301398.SZ,20260507,4.5082,1.16,379.2213,4.6166,11.235,0.5896,508816.0,169085.917
600824.SH,20260507,1.1606,0.9,34.0753,1.7059,6.7313,0.439,432151.0999,432151.0999
600011.SH,20260507,1.4121,1.3,8.1982,1.629,0.5056,3.7139,11412513.872,7995335.1111
301208.SZ,20260507,2.9197,1.78,84.6296,2.7032,3.507,0.5674,423000.2115,232904.0115
600305.SH,20260507,0.4751,0.81,53.8224,2.4111,3.5843,1.3369,827640.7029,825035.1945
600292.SH,20260507,4.6935,2.08,79.5796,4.0366,5.1233,,7043371.5712,1255553.5591
920781.BJ,20260507,2.4765,1.21,,3.2512,5.0863,0.2447,114843.3211,75874.4207
600406.SH,20260507,1.3916,1.27,25.5238,3.9698,3.1744,2.192,21235963.2765,21173617.7723
000055.SZ,20260507,1.7304,0.7,,0.7128,1.1886,1.3477,398407.3382,250741.9932
000997.SZ,20260507,1.8834,1.09,21.3673,2.7808,2.3161,1.0554,2096099.5861,2084392.0793
000049.SZ,20260507,4.2903,0.89,34.3235,1.633,0.482,1.1431,1110451.4477,1110152.1466
301213.SZ,20260507,3.3947,0.97,311.2811,7.4175,28.0044,,596479.9925,385557.5813
002440.SZ,20260507,4.8387,0.69,14.9905,1.1924,1.968,1.3594,1207175.898,1016390.0257
920892.BJ,20260507,0.9264,1.24,23.8368,5.7809,4.3471,3.598,258252.6511,228692.4582
605196.SH,20260507,3.0028,1.49,72.8533,6.6389,2.7659,0.1427,2247766.6242,2221331.2736
002534.SZ,20260507,1.0243,0.77,34.2603,2.6786,2.4788,0.9685,1518058.2814,1498858.7486
002591.SZ,20260507,27.8884,2.44,,4.111,5.5137,,262974.748,195796.9167
600820.SH,20260507,0.7031,1.15,8.5783,0.5821,0.3382,5.042,1870737.1759,1870737.1759
301169.SZ,20260507,5.0455,1.71,,13.9081,16.7863,,602835.2052,602571.6132
000690.SZ,20260507,7.2704,1.13,11.8176,0.9342,1.3972,3.5587,1222848.9784,1222051.1284
000733.SZ,20260507,2.2298,0.71,24.6351,1.5362,4.2599,0.412,2421166.244,2420839.8797
600551.SH,20260507,0.4719,0.75,13.699,0.9192,0.8456,4.9383,549224.7436,549224.7436
002020.SZ,20260507,1.0024,0.71,17.0191,2.1222,3.2041,2.2026,1293265.7683,1087400.4392
300757.SZ,20260507,5.4821,1.16,,52.6151,84.1174,0.0088,8553377.1206,7688112.3628
603011.SH,20260507,2.7037,0.97,,5.6918,5.0374,,1061013.3818,1061013.3818
300484.SZ,20260507,3.9448,1.41,95.9034,4.8963,7.4701,0.9796,339127.3043,272319.2471
920183.BJ,20260507,7.0459,1.1,25.5465,3.9852,7.7012,,191059.656,43908.0748
605198.SH,20260507,0.7839,1.07,49.9828,5.5545,10.0453,0.5273,1584385.308,1282611.176
605050.SH,20260507,0.9505,0.96,16.7555,1.3925,0.5241,2.7585,621950.4264,621950.4264
300166.SZ,20260507,26.5128,1.51,,3.7997,8.1654,,2167033.1584,1723659.5939
600571.SH,20260507,1.8549,0.92,173.8117,5.2882,2.9462,0.3585,611343.3031,600112.4826
002091.SZ,20260507,3.2033,0.95,11.4673,0.905,0.3606,5.2806,1448666.884,1422389.7817
920914.BJ,20260507,3.6041,1.37,47.4601,2.6501,2.3748,0.3769,262639.926,262432.2623
300321.SZ,20260507,2.8309,1.6,406.8135,5.6436,9.2809,0.1066,358041.6,357621.8688
002861.SZ,20260507,3.328,0.72,,3.062,3.5727,0.5889,316310.1675,254985.5187
300668.SZ,20260507,7.2991,0.94,762.4917,9.7598,14.8232,,761050.4079,630264.5956
920058.BJ,20260507,1.0641,0.88,32.2114,4.3213,1.9452,3.1402,154042.1903,75829.3782
920634.BJ,20260507,3.0435,0.68,81.2751,4.717,1.6554,0.4615,138170.7521,87620.9415
688710.SH,20260507,1.78,0.81,,4.1121,11.8341,0.4693,961199.0151,618351.4466
301305.SZ,20260507,4.4206,0.9,22.5284,1.6332,3.364,0.7599,634912.6329,325613.8109
001260.SZ,20260507,1.7362,0.97,68.723,3.0689,4.4632,0.5678,255185.0,255185.0
603273.SH,20260507,2.8258,0.79,140.315,4.3817,8.2863,0.4135,388764.5076,101689.9376
688158.SH,20260507,12.6363,1.12,,9.9414,13.6604,,2407465.6074,2139280.3386
600241.SH,20260507,3.1124,1.15,,2.8102,7.3323,,287533.1664,287533.1664
601766.SH,20260507,1.0887,1.24,12.6216,0.9705,0.6127,5.3872,17047125.2683,14450712.0405
688420.SH,20260507,3.4922,0.87,,1.7285,4.9299,0.5207,246631.27,116410.071
300960.SZ,20260507,1.1951,0.67,70.8881,4.8569,6.2511,,308388.5058,279425.0958
688048.SH,20260507,10.6288,1.17,2052.4291,22.9802,134.9936,,6925510.1206,6925510.1206
601169.SH,20260507,0.4814,0.5,5.4321,0.3932,1.5803,3.7951,11142352.7113,11142352.7113
001358.SZ,20260507,8.4409,0.95,70.2922,2.5804,7.565,0.8372,367875.2,148393.6803
