ts_code,trade_date,turnover_rate,volume_ratio,pe_ttm,pb,ps_ttm,dv_ttm,total_mv,circ_mv
002997.SZ,20260601,2.8119,,16.1975,2.5209,1.8295,0.4832,649733.3928,649733.3928
000898.SZ,20260601,0.6326,,,0.4591,0.2096,,1948798.0217,1655154.8017
300418.SZ,20260601,5.1329,,,4.5703,6.329,,5698648.5017,5205059.7565
688079.SH,20260601,8.1282,,,7.3472,13.4242,,917721.6629,901741.6613
000547.SZ,20260601,4.0321,,,8.5168,11.2978,,3212921.2207,3194133.3346
300579.SZ,20260601,1.8209,,,8.0954,7.5004,0.1264,640710.0,618103.0911
300907.SZ,20260601,6.5235,,90.6694,4.7982,3.0144,,386880.0,386880.0
601236.SH,20260601,0.2282,,29.2606,1.3131,14.1007,3.0272,3259300.3297,3259300.3297
688091.SH,20260601,3.5575,,134.5103,6.3646,28.4359,,921898.2344,921898.2344
000669.SZ,20260601,2.6302,,68.7567,49.7965,2.4009,,302781.9147,302781.9147
300144.SZ,20260601,0.7439,,22.832,2.2844,8.0125,2.9345,1787414.9537,1768822.2761
300140.SZ,20260601,1.6723,,21.0449,1.3332,3.193,1.9417,1915223.4159,630434.9325
688282.SH,20260601,1.7014,,,5.2269,21.5185,,658680.0,658680.0
600339.SH,20260601,1.3369,,54.0913,0.7491,0.2028,1.3296,2015516.237,2015516.237
002365.SZ,20260601,2.7381,,102.4655,1.7765,4.1809,0.8156,354503.0475,295082.0258
600691.SH,20260601,1.3941,,,2.1314,0.6763,,662898.9646,662788.4806
002236.SZ,20260601,1.4464,,14.1162,1.4923,1.6498,3.2742,5508706.5947,4029048.936
002385.SZ,20260601,1.4583,,,1.971,0.4965,0.8783,1462026.7121,1177623.1184
300200.SZ,20260601,1.5934,,44.8215,2.4367,2.9558,,403390.9208,396790.2619
301182.SZ,20260601,3.6019,,,10.8491,8.5494,,719141.8585,655818.421
301291.SZ,20260601,5.724,,35.1779,3.4191,2.682,1.4005,1761133.4442,915527.1388
600272.SH,20260601,1.5408,,132.4277,3.8341,2.6908,0.3385,304676.2562,185600.0
600906.SH,20260601,2.2646,,24.677,1.7404,7.385,1.9374,2177395.0,1425361.6515
002799.SZ,20260601,2.1027,,,1.9519,3.3617,,248031.0,248026.66
300411.SZ,20260601,2.2883,,1058.5376,3.4984,10.5383,,337411.6058,256565.865
600956.SH,20260601,2.5192,,28.0008,1.7975,2.3976,2.132,4445002.6769,2312867.3468
300818.SZ,20260601,3.9303,,84.2861,2.9932,5.0758,0.2832,536443.7213,347506.163
601616.SH,20260601,1.6185,,,1.5402,4.5297,1.6279,367080.3872,367080.3872
300207.SZ,20260601,2.5805,,53.6874,1.7102,0.6283,0.9136,4214061.8393,3909260.6117
003029.SZ,20260601,1.8443,,,3.6368,9.1409,,372525.3167,338814.501
301491.SZ,20260601,2.0014,,26.7599,2.6436,2.9602,,575469.0,127510.7705
003000.SZ,20260601,1.384,,20.2544,3.3889,1.9297,0.8811,499139.834,341022.7466
600854.SH,20260601,2.6539,,21.0033,1.0686,25.8445,2.3529,264923.8544,264923.8544
001267.SZ,20260601,6.0945,,505.6683,26.3977,25.4808,0.1177,4202986.5213,3257603.255
301319.SZ,20260601,6.9747,,226.6714,17.0479,12.3821,0.3165,1967150.8433,1477556.0508
603108.SH,20260601,4.6747,,,2.1342,1.1462,0.2308,784814.3433,784814.3433
688456.SH,20260601,7.4383,,87.67,6.1215,1.802,0.2631,788023.32,788023.32
001211.SZ,20260601,9.529,,,3.657,1.8818,0.4751,315720.0,294779.8447
301446.SZ,20260601,6.8658,,64.8475,4.0581,8.0678,0.4261,488176.0,145842.58
000711.SZ,20260601,4.3625,,,26.1781,35.6612,,1733365.3449,1397815.7537
002594.SZ,20260601,1.2791,,30.9934,3.6817,1.0893,1.4145,85382555.1962,32652135.4275
301125.SZ,20260601,2.0252,,,5.5708,5.4519,0.0878,322261.888,285642.3505
000025.SZ,20260601,3.2261,,47.3842,3.6155,5.1192,,672450.9792,612734.1792
600939.SH,20260601,1.0843,,,0.7845,0.2576,,549815.2588,549815.2588
002481.SZ,20260601,1.3063,,137.066,2.1831,2.4425,0.6908,530489.495,480805.618
301163.SZ,20260601,4.2007,,53.6095,1.9467,2.6371,0.4613,221136.0,148306.4817
920284.BJ,20260601,3.4179,,,9.4973,10.0188,,299582.1591,191726.5442
300086.SZ,20260601,2.9385,,,3.4649,6.8327,,307664.1018,297895.9769
300514.SZ,20260601,2.969,,78.5584,2.2299,2.9979,2.6408,227200.0,182053.4572
600149.SH,20260601,6.7366,,138.2257,8.712,11.1034,,222393.6,222393.6
000869.SZ,20260601,0.2626,,200.7948,1.1587,3.9767,2.1735,1215236.9967,841502.6335
002752.SZ,20260601,1.594,,18.2146,1.858,0.895,1.4663,666258.3952,665309.2906
688667.SH,20260601,2.8538,,40.7581,3.3469,5.5412,0.085,609686.4375,609686.4375
000525.SZ,20260601,1.7336,,,2.6033,2.2247,,646366.6363,551432.9625
301238.SZ,20260601,4.1238,,56.6603,2.5232,8.0734,1.2043,1826733.2503,1826733.2503
301197.SZ,20260601,4.0425,,165.7408,2.8685,8.6127,0.3077,378977.76,341907.642
300227.SZ,20260601,6.4837,,,4.8058,3.7279,,656164.5015,476807.5696
603533.SH,20260601,5.1473,,,5.0555,3.4191,0.3782,1160443.2317,1160443.2317
603330.SH,20260601,2.9493,,,2.3439,3.8272,,305467.5962,305467.5962
002004.SZ,20260601,1.1014,,13.4083,0.8818,0.7964,4.3042,916702.5854,871978.2846
301665.SZ,20260601,2.0833,,20.426,2.85,1.8634,2.5359,1064700.0,246466.22
300304.SZ,20260601,3.2202,,26.3966,3.4537,4.9107,0.6006,1160905.9952,1129669.5359
300811.SZ,20260601,5.981,,77.2979,10.8978,17.5328,0.1733,3346179.4926,2743816.398
