ts_code,trade_date,turnover_rate,volume_ratio,pe_ttm,pb,ps_ttm,dv_ttm,total_mv,circ_mv
001282.SZ,20260305,26.397,1.53,40.101,3.3687,3.2843,0.5815,540355.3792,190096.7936
300779.SZ,20260305,4.6041,1.24,705.123,13.8212,16.2084,0.1035,1883146.9063,1509271.9409
300434.SZ,20260305,1.8368,0.99,31.117,1.6121,3.8492,0.6832,405761.3107,345542.2969
000695.SZ,20260305,5.2445,1.1,,17.5285,6.0112,,301046.0286,288132.702
920112.BJ,20260305,0.5164,0.53,21.9774,3.5351,2.8265,1.3401,316575.35,86495.773
000905.SZ,20260305,4.258,0.7,45.423,1.8556,0.4497,0.8737,933938.2826,933936.3941
301332.SZ,20260305,0.9736,0.67,34.0165,1.4833,1.2301,1.5897,432484.0625,248208.9575
301278.SZ,20260305,15.9948,1.09,128.3401,2.7042,4.0149,1.1916,384758.2253,220463.0236
920725.BJ,20260305,16.5984,1.16,,5.7066,20.1662,0.2652,341916.15,157623.2965
920068.BJ,20260305,5.2199,0.42,98.6598,10.2914,21.8811,0.4748,1380693.6316,132055.1737
000573.SZ,20260305,2.4143,0.82,41.3764,1.6412,6.2108,1.182,269992.6955,267744.1184
300521.SZ,20260305,2.7207,1.05,,8.7232,24.7839,,464163.0,464163.0
600639.SH,20260305,0.5594,0.68,12.1253,0.7951,5.47,3.1452,1151595.6282,872342.8573
301149.SZ,20260305,3.6256,0.81,39.1448,2.6271,0.919,1.2205,528470.0221,321050.0895
600835.SH,20260305,2.4212,1.52,28.3604,1.852,1.3151,1.6575,2591621.4065,2043681.8962
000973.SZ,20260305,4.4149,0.96,272.9378,3.8314,14.5724,0.1031,3284204.3194,1292477.3565
000501.SZ,20260305,0.9389,0.74,31.8532,0.6433,1.1457,3.2149,699783.3852,699087.9951
000822.SZ,20260305,7.8413,0.81,,1.2464,1.2569,,597921.4066,597921.4066
688588.SH,20260305,0.8588,0.64,50.5229,4.1787,4.8688,1.5053,513212.8338,513212.8338
300812.SZ,20260305,33.9202,1.3,,8.365,15.0348,,655560.4957,433873.7068
301205.SZ,20260305,15.5796,1.4,228.4807,16.2049,23.4707,0.101,2570228.64,1346253.5268
600386.SH,20260305,1.2309,0.89,4123.5011,1.8968,0.8231,0.2381,338688.0,338688.0
605116.SH,20260305,0.6196,0.71,23.8713,4.0182,6.2385,1.1585,1013427.1688,1013427.1688
002651.SZ,20260305,1.9702,0.65,185.3386,3.8436,14.6896,0.5814,1066530.72,583558.4775
300971.SZ,20260305,4.9299,0.99,39.003,2.7303,5.6448,0.7301,287649.6,225184.8701
300808.SZ,20260305,2.3261,0.78,,5.1205,14.6023,,496480.0,368945.3905
603809.SH,20260305,1.3232,0.71,31.9156,3.0056,4.2778,1.168,1097904.5468,1097904.5468
603010.SH,20260305,1.3946,0.66,198.2637,1.9019,2.0682,0.6664,687448.6394,687448.6394
600107.SH,20260305,0.7234,0.52,,4.5581,8.5191,,208080.0,208080.0
603279.SH,20260305,1.9472,0.48,18.1028,2.5272,1.9905,4.6323,1119892.739,1119892.739
002737.SZ,20260305,0.3324,0.66,,1.9353,3.7453,3.723,784312.0,784312.0
002193.SZ,20260305,3.5313,0.76,,3.0822,4.9572,,168806.5298,168805.5623
603393.SH,20260305,10.7209,1.15,14.7768,1.8395,4.3706,,1653293.1753,1650563.1909
301009.SZ,20260305,1.5698,0.57,88.9922,2.475,2.9496,0.5651,330038.04,183356.524
002313.SZ,20260305,3.2111,1.33,,260.8041,1.306,,348940.8,348916.2651
603919.SH,20260305,1.2082,0.7,26.3885,3.0297,3.3342,3.4785,999809.4541,999809.4541
300778.SZ,20260305,3.9699,0.73,,2.192,19.591,,270867.3239,270813.9164
600027.SH,20260305,1.4908,0.68,8.6298,1.2651,0.4858,4.0604,6026510.8015,4782936.5327
300353.SZ,20260305,3.9745,0.72,362.4219,7.4083,15.2919,,1472053.5571,1286198.0987
603755.SH,20260305,1.4026,0.56,34.815,4.0719,6.2605,1.6576,293178.4736,293178.4736
301023.SZ,20260305,3.4213,0.71,41.8669,4.2481,12.0064,2.5957,338148.9279,180853.0675
600959.SH,20260305,1.2113,0.71,42.5559,0.8534,2.3844,0.567,1940278.4622,1940278.4622
002163.SZ,20260305,3.8876,0.69,,17.0351,3.3051,,1199840.1711,1141039.4025
002065.SZ,20260305,1.7785,0.8,78.3783,2.3149,2.0728,0.5675,2824029.9724,2561878.9728
688041.SH,20260305,0.921,0.74,222.1606,26.0417,39.2873,0.1068,56479091.2732,56479091.2732
603016.SH,20260305,1.3161,0.72,70.4542,5.6611,7.4356,1.5011,466852.16,466852.16
920856.BJ,20260305,1.1201,0.67,82.4077,3.087,3.4555,0.5926,145924.2474,81394.0968
002926.SZ,20260305,0.6517,0.8,14.7754,0.932,4.3725,1.4484,2265375.0,2265375.0
000776.SZ,20260305,0.5905,0.78,11.2895,1.2016,4.5542,2.51,15587092.2579,11760866.2275
600265.SH,20260305,0.2066,0.69,,291.0233,10.2167,,252850.4,252850.4
600702.SH,20260305,1.1805,0.6,110.5357,2.3216,3.5788,0.8594,1645825.4155,1645132.9755
002201.SZ,20260305,3.4731,0.53,102.8714,6.9416,4.5939,0.1946,803467.4852,742294.8769
603722.SH,20260305,1.3893,1.13,,3.9218,8.5311,0.2555,374561.2238,366818.5638
301398.SZ,20260305,3.2612,0.45,92.2492,5.7008,15.4894,0.4691,639520.0,212520.49
600824.SH,20260305,0.9929,0.72,241.2022,1.8703,6.9213,0.4206,451123.5872,451123.5872
600011.SH,20260305,1.0925,0.74,8.0628,1.7564,0.5015,3.6096,11742173.8325,8226287.0194
301208.SZ,20260305,1.7319,0.54,67.2968,2.8444,3.9695,0.5493,436920.2185,240568.3705
600305.SH,20260305,0.5549,0.64,57.3528,2.5436,3.7263,1.2953,854196.0196,851506.912
600292.SH,20260305,3.8787,1.3,18906.0834,2.3784,15.005,,6846262.2922,1220416.7991
920781.BJ,20260305,10.6332,1.23,,4.1875,6.2756,0.1859,151166.5788,99836.4209
600406.SH,20260305,2.2349,1.64,29.6545,4.8159,3.722,1.9639,23701712.4164,23632063.2626
000055.SZ,20260305,1.1873,0.83,376.1006,0.6789,1.0946,1.2987,413441.5774,260203.1082
000997.SZ,20260305,1.0918,0.59,20.9929,3.24,2.8895,0.9502,2328099.0087,2315095.6975
000049.SZ,20260305,1.0705,0.72,23.2918,1.4595,0.4419,1.3054,972366.214,972104.1311
301213.SZ,20260305,13.9727,1.17,,8.7074,43.9649,,683199.9915,441612.3585
002440.SZ,20260305,10.4291,0.8,55.8094,1.69,2.7737,1.0224,1605071.8643,1351400.1793
920892.BJ,20260305,0.382,0.57,24.8262,6.1121,4.5617,3.4544,268984.7864,234141.3945
605196.SH,20260305,4.7394,1.63,95.1461,8.6136,4.0768,0.1128,2843219.4735,2809612.9135
002534.SZ,20260305,2.2849,0.68,85.8071,3.1042,2.8101,0.8883,1655151.6505,1632988.6234
600881.SH,20260305,0.8798,0.61,,3.2774,0.8227,,555929.9699,555929.9699
600820.SH,20260305,0.7658,0.92,7.8629,0.6498,0.3325,4.7022,2005933.308,2005933.308
301169.SZ,20260305,1.6507,1.01,,8.9471,11.6406,,391684.3942,391562.0617
000690.SZ,20260305,3.3631,0.83,10.8295,0.806,1.1831,4.3011,1011787.8558,1011129.1894
000733.SZ,20260305,2.586,0.57,30.9142,1.9181,5.4262,0.3401,2933218.7983,2932823.4112
600551.SH,20260305,0.5719,0.6,13.3696,0.9586,0.7358,4.884,555327.2407,555327.2407
002020.SZ,20260305,1.1353,0.73,18.5483,2.3387,3.3059,2.1552,1321679.7299,1111291.3942
300757.SZ,20260305,7.8738,1.12,,39.7725,130.8525,0.0114,6622699.2899,5952743.0591
603011.SH,20260305,11.7938,1.25,,6.4581,5.9476,,1356178.8007,1356178.8007
300484.SZ,20260305,1.9847,0.72,70.1769,5.6197,8.0582,0.8753,379524.2648,304758.009
920183.BJ,20260305,56.8742,,29.5594,4.7972,9.2376,,221165.136,50826.7184
605198.SH,20260305,0.6079,1.05,38.3053,4.8567,7.7444,0.6294,1327394.736,1074568.992
