ts_code,trade_date,turnover_rate,volume_ratio,pe_ttm,pb,ps_ttm,dv_ttm,total_mv,circ_mv
920719.BJ,20260518,4.6244,0.73,,9.0748,5.8443,,100540.872,79049.155
920271.BJ,20260518,1.4457,1.45,18.0582,2.5235,4.4474,1.6598,157641.715,69757.9694
920592.BJ,20260518,1.8606,0.42,,7.7269,13.0193,0.4846,256524.125,159657.1324
920061.BJ,20260518,4.2647,0.62,391.555,6.4701,18.7945,0.554,181434.77,100890.9572
920346.BJ,20260518,1.3102,0.84,34.0097,3.2841,5.5928,1.7177,159693.1439,88315.3616
920651.BJ,20260518,1.0218,0.49,20.5599,2.8482,4.4592,2.7184,157075.0,106778.4855
920419.BJ,20260518,1.0225,1.46,23.2443,2.0176,1.41,0.8183,126240.4208,118156.7368
920496.BJ,20260518,1.7073,0.74,144.4638,2.5319,2.4351,1.7422,142560.075,124843.65
301531.SZ,20260518,54.2959,0.86,182.6765,16.8424,19.641,,2439040.074,520408.5483
920178.BJ,20260518,57.8197,,114.1271,15.9378,24.9532,,1491387.3351,330438.8245
920166.BJ,20260518,2.9368,0.55,23.7474,3.2791,5.7558,,204423.5304,64521.1795
000401.SZ,20260518,0.4272,0.84,110.8385,0.4112,0.4571,2.4631,1079236.1974,1068329.9818
920181.BJ,20260518,25.5045,0.81,62.6704,7.4747,9.3974,,573696.0,133065.6
001393.SZ,20260518,50.6367,,80.3579,6.5722,7.4449,,2375149.3397,457630.7642
688033.SH,20260518,3.2941,0.87,,3.5438,8.2896,,469998.0263,469998.0263
301666.SZ,20260518,22.6244,0.82,27420.1011,132.7758,107.819,,35595254.976,2163733.5888
301638.SZ,20260518,12.5721,0.71,135.6274,8.4215,12.3321,,9449920.4836,743695.4629
301632.SZ,20260518,2.7792,1.03,62.7316,3.0286,6.8821,,839212.8,146890.31
603352.SH,20260518,3.0411,0.8,38.5312,2.6729,2.0036,,790160.0012,154856.3888
000631.SZ,20260518,0.9537,0.5,149.5118,1.3567,13.8886,,747500.0276,747500.0276
920096.BJ,20260518,94.9896,,108.5021,11.714,19.2774,,772869.0,181456.2
920119.BJ,20260518,5.1352,0.98,25.0199,3.5533,4.8435,,697431.9919,183505.3369
301599.SZ,20260518,43.7266,1.11,120.6786,14.4601,13.3362,,3045369.6,385966.982
920177.BJ,20260518,31.2216,1.12,26.6188,3.219,6.743,,213308.64,47994.444
920125.BJ,20260518,21.5308,0.77,118.8595,12.6493,12.7369,,863460.0,253403.6621
688781.SH,20260518,19.1988,1.26,,12.793,81.2862,,5189000.0,211893.3183
688808.SH,20260518,19.5006,1.14,505.3897,47.0773,93.258,,13808564.0448,2595312.0719
603400.SH,20260518,12.6822,0.83,78.9996,7.1629,6.0127,1.0246,878400.0,175680.0
600753.SH,20260518,0.8244,0.7,52.5358,35.9961,1.4478,,316211.7513,316211.7513
920028.BJ,20260518,13.0948,0.55,31.688,3.1551,4.1785,,357647.36,141352.0896
688807.SH,20260518,32.207,2.6,384.6066,19.7994,70.2473,,3560000.0,669086.692
688785.SH,20260518,12.0448,0.97,315.3519,13.6189,59.3285,,3039805.7912,571472.1585
688811.SH,20260518,39.1923,1.63,229.9705,10.4793,26.7777,,1648499.466,302726.3547
688802.SH,20260518,10.9839,0.76,,22.2515,154.573,,29146084.7,1321369.7661
001312.SZ,20260518,16.6974,1.17,24.7748,2.4582,3.3957,,574000.0016,140614.2617
001367.SZ,20260518,1.0446,0.42,26.6092,2.3567,6.8225,0.4972,355435.3496,283779.219
301508.SZ,20260518,3.1924,1.25,42.4277,3.115,7.1837,0.7388,645699.3312,168036.7584
688084.SH,20260518,1.7408,0.65,,3.1247,14.8556,,479148.865,479148.865
688271.SH,20260518,0.8171,0.93,47.6322,4.1167,6.3535,0.1905,9041013.1284,9041013.1284
603119.SH,20260518,11.7963,1.37,121.983,17.5051,23.8655,0.236,3545504.0401,1987258.6805
301550.SZ,20260518,6.7345,1.44,266.5204,23.5953,54.7388,0.1722,4407638.95,2688694.4451
688512.SH,20260518,9.7728,1.07,,4.4089,7.9169,,700732.1655,487180.0143
001328.SZ,20260518,0.7468,1.0,27.6528,3.3343,2.946,2.4614,524613.5686,492751.3943
920982.BJ,20260518,1.3937,0.97,29.3723,9.0042,11.4256,1.5935,1832990.8662,874638.0518
301122.SZ,20260518,7.794,2.13,322.9328,1.9272,8.3896,0.8565,356835.0757,220795.0807
688480.SH,20260518,3.9572,1.13,73.4249,7.3366,6.8521,0.6785,885103.572,885103.572
920575.BJ,20260518,3.3311,0.52,,,764.9582,,117994.8,78892.2456
