ts_code,trade_date,turnover_rate,volume_ratio,pe_ttm,pb,ps_ttm,dv_ttm,total_mv,circ_mv
600967.SH,20260203,1.1529,0.69,54.9333,2.4171,2.7108,0.4154,2867524.0139,2867524.0139
920403.BJ,20260203,10.3814,0.7,37.9421,5.3702,7.8334,0.5569,254861.1702,148774.0527
688765.SH,20260203,3.057,0.6,,8.9919,1125.5352,,2632272.5,301726.7056
600039.SH,20260203,0.2044,0.57,10.9921,1.7194,0.7828,4.1883,8504287.6508,8504287.6508
000031.SZ,20260203,2.567,0.88,,1.5608,0.4398,,1581649.6221,1581646.4347
000738.SZ,20260203,3.6516,0.73,65.1143,2.7137,6.4918,0.6651,3401065.8266,3401065.8266
600888.SH,20260203,2.4172,0.45,14.4588,1.1032,1.6017,3.044,1245093.6182,1245093.6182
600340.SH,20260203,9.1837,1.83,,,0.4644,,637936.4157,634616.8751
688489.SH,20260203,0.5642,0.8,,2.6755,9.5269,0.2597,489065.0746,485333.2102
603209.SH,20260203,1.3445,0.64,18.8289,1.5078,3.2634,1.1164,501150.0,495740.0426
603159.SH,20260203,1.5879,0.83,569.2961,7.4417,8.4467,0.2439,373100.0,373100.0
600812.SH,20260203,0.739,0.48,52.3064,1.739,0.9775,0.5376,957377.5465,957377.5465
688561.SH,20260203,1.2634,0.85,,2.9963,5.4493,,2439735.7446,2439735.7446
600955.SH,20260203,1.9253,0.59,,1.278,1.1867,0.1525,1075250.0,1075250.0
002712.SZ,20260203,5.0524,0.8,,2.6763,0.5117,,364665.0527,362403.1829
603566.SH,20260203,1.9109,1.03,33.7223,1.9305,4.3891,4.2344,484487.1822,484487.1822
920208.BJ,20260203,2.1574,1.92,18.5166,3.4592,3.5227,2.788,342807.2673,250437.8417
000061.SZ,20260203,0.9524,0.67,56.2152,2.2399,2.652,0.6313,1881743.2157,1608692.4897
605507.SH,20260203,0.7529,0.86,17.0153,1.7957,2.4995,2.2555,1485352.863,1485352.863
002082.SZ,20260203,1.5526,0.68,677.8963,3.5994,6.9437,,962798.5726,870820.0992
601108.SH,20260203,1.4157,0.58,14.1935,1.125,5.9701,1.8976,4123662.0031,4123662.0031
920519.BJ,20260203,1.1297,0.49,70.9535,2.2679,2.6606,0.7597,116035.5352,81892.6602
301229.SZ,20260203,2.0029,0.59,95.2797,2.9509,3.4786,0.8133,368832.6365,262310.4186
301378.SZ,20260203,31.3734,1.64,,3.4412,11.0569,,449190.0,213502.5692
920981.BJ,20260203,2.2346,0.51,470.3025,4.9923,4.4944,0.4533,253032.612,123457.526
601100.SH,20260203,1.2205,1.56,54.8354,9.233,15.0106,0.872,15376535.1363,15376535.1363
688075.SH,20260203,0.4461,0.33,41.9508,0.9822,10.9583,2.005,507060.392,507060.392
600478.SH,20260203,1.7686,0.54,61.0875,3.9824,2.5347,,1155885.3957,1155885.3957
688600.SH,20260203,1.5281,0.78,54.0622,4.7558,4.4986,0.3467,361422.8787,361422.8787
301336.SZ,20260203,6.2312,0.73,74.3618,2.8287,6.3759,0.3825,234480.0,178382.401
301285.SZ,20260203,3.4441,0.97,,14.5527,16.8634,0.0696,1482857.25,563236.1224
603266.SH,20260203,1.2456,0.69,39.0165,2.7407,3.2219,0.7856,430390.927,430390.927
603076.SH,20260203,1.42,0.73,207.757,2.2705,1.9718,1.64,294390.578,294390.578
300880.SZ,20260203,1.4692,0.88,42.7783,3.6329,5.1392,2.3065,380712.8333,380672.2291
000019.SZ,20260203,3.3466,0.7,25.2349,1.6402,1.4901,2.1127,818300.0303,295513.649
605177.SH,20260203,1.9719,0.84,,1.447,2.958,,245972.6941,241380.0252
002315.SZ,20260203,3.4513,0.73,32.0853,6.2468,8.807,2.2304,1635668.1406,1043137.4857
603097.SH,20260203,7.0334,1.82,61.8365,5.7637,3.1714,0.5253,626095.7092,606572.0592
600763.SH,20260203,3.8107,1.16,41.7805,4.9695,7.3651,0.9324,2158617.2786,2158617.2786
603000.SH,20260203,7.013,1.0,149.1722,7.5845,13.5926,0.524,2785235.7701,2785235.7701
603801.SH,20260203,1.1702,0.7,14.1118,1.2437,0.8862,6.3471,412633.8272,412633.8272
300095.SZ,20260203,4.6563,0.75,,2.6759,3.3165,0.8892,446975.9345,360405.6121
603060.SH,20260203,2.8102,3.67,46.3714,2.7444,2.0814,1.6914,541869.5003,541869.5003
600422.SH,20260203,0.7321,0.56,17.5658,1.7538,1.2099,2.439,931080.1811,931080.1811
603320.SH,20260203,1.6701,0.65,43.545,2.8047,3.2052,0.6393,326630.1846,326630.1846
002451.SZ,20260203,5.4965,0.92,350.9422,5.9643,2.8618,0.095,462262.83,460667.301
300471.SZ,20260203,6.1457,0.69,,4.3943,6.9944,,684551.1123,533694.5869
000677.SZ,20260203,1.5556,0.51,478.0432,6.9415,3.3182,,352503.0028,352503.0028
002483.SZ,20260203,1.1432,0.82,14.3635,1.4875,0.8395,4.0761,652440.752,651544.5881
300516.SZ,20260203,6.529,1.42,400.7434,10.0505,21.2339,0.0951,1305360.0,1305360.0
002267.SZ,20260203,0.8226,0.57,12.8353,1.3164,0.9755,4.4929,866306.7717,866306.7717
000698.SZ,20260203,2.9748,1.66,29.0946,2.1246,0.5794,,313874.0133,300928.6133
300184.SZ,20260203,4.3993,0.76,81.4358,3.0753,1.443,,1254625.013,1140366.0878
301330.SZ,20260203,3.3742,0.66,47.8403,2.6852,4.6011,1.0704,911751.9047,441306.2103
300327.SZ,20260203,4.587,0.49,103.3812,5.9816,7.853,0.6489,1046299.5772,1038741.468
002679.SZ,20260203,3.1316,0.47,188.4673,3.7287,18.0882,0.3155,273476.96,273476.96
603313.SH,20260203,2.3685,0.74,32.5218,1.4331,0.5819,,528363.4555,528363.4555
688605.SH,20260203,2.6959,0.54,68.1839,8.4817,11.0769,0.2958,1368492.5863,732674.3983
301047.SZ,20260203,0.7629,0.67,67.7287,1.7044,13.6236,6.7622,899382.0703,884179.1117
002176.SZ,20260203,2.5851,0.53,,4.6184,6.861,,1568113.2089,1567831.5676
300829.SZ,20260203,3.048,0.65,61.5483,1.7326,2.6186,0.2243,418640.7471,291486.2419
000970.SZ,20260203,3.1316,0.67,118.129,2.6204,2.577,0.1411,1705663.2595,1705663.2595
600692.SH,20260203,5.0431,0.96,,2.9978,5.5822,,277190.0824,200948.2874
603113.SH,20260203,2.2592,0.7,,0.7449,0.3569,5.018,599882.8655,599882.8655
688237.SH,20260203,1.1392,0.57,1028.2314,3.5031,10.475,0.707,424823.4066,424823.4066
000821.SZ,20260203,4.5717,0.55,31.6112,2.0695,1.1818,0.4916,886973.6839,861022.6879
002782.SZ,20260203,3.5724,0.68,36.9857,5.351,2.0817,0.6384,1147164.7621,1125277.2756
920116.BJ,20260203,4.021,1.22,195.2471,34.7617,60.7867,0.0892,1906914.625,1831724.125
000567.SZ,20260203,0.5844,0.67,,2.1023,24.4783,,1133663.4499,1130943.2598
300402.SZ,20260203,2.7532,0.38,89.6748,3.6104,3.8512,0.4106,540964.7694,534011.7454
002849.SZ,20260203,4.5555,0.92,111.0376,3.1639,2.6887,0.2039,432883.9394,379779.0818
002358.SZ,20260203,20.9602,1.95,70.7643,2.1466,2.4628,0.2581,720561.6572,720560.6691
300141.SZ,20260203,8.3732,1.24,,6.213,9.5723,,411004.2924,406053.5834
600010.SH,20260203,2.8935,0.55,109.4633,2.1306,1.6735,0.0816,11095711.7403,7688295.5803
600861.SH,20260203,1.0608,0.81,8.9583,1.451,0.2374,3.8176,1036552.3867,671198.5467
300560.SZ,20260203,7.377,0.9,,3.8362,3.7003,,372184.6676,302882.9517
601958.SH,20260203,1.5677,0.65,19.401,3.2705,4.4007,2.0866,6185400.6348,6185400.6348
000701.SZ,20260203,1.8248,0.66,,,0.1149,,419032.3175,418677.1376
601208.SH,20260203,6.038,0.8,123.7345,4.8176,5.6056,0.6738,2818410.411,2818410.411
601026.SH,20260203,2.7249,0.51,61.7129,5.0934,3.4094,0.7614,1299018.0,211151.9205
002425.SZ,20260203,2.5642,0.81,,1.2934,6.8313,,374056.0408,373819.8111
688271.SH,20260203,0.6714,0.7,61.4792,5.081,8.6186,0.1637,10518728.4008,10518728.4008
600592.SH,20260203,2.3196,0.84,125.0377,3.7688,6.503,0.3543,958529.0168,958529.0168
600997.SH,20260203,1.0097,0.48,26.8241,0.674,0.5107,4.3624,946328.7112,946328.7112
603176.SH,20260203,1.5414,0.84,,2.534,1.1326,0.3972,274687.0172,266929.6792
600216.SH,20260203,1.957,0.86,11.3788,1.2805,1.5802,2.4884,1415530.768,1400445.3072
600419.SH,20260203,1.7678,0.97,284.8972,1.2924,1.1277,0.2157,306993.0602,306993.0602
603758.SH,20260203,0.9331,0.74,36.9098,2.566,4.6502,,650297.2266,650297.2266
300175.SZ,20260203,0.7375,0.57,,5.7379,11.0515,,296133.2,296133.2
301281.SZ,20260203,5.6037,0.96,69.7176,2.6566,8.3618,0.5947,364179.27,231549.276
300508.SZ,20260203,10.5262,1.84,56.2222,5.7846,9.4404,0.4145,489470.1897,368659.1185
002058.SZ,20260203,1.1671,0.66,16.8955,79.5553,5.0262,,318311.8487,317578.356
688303.SH,20260203,0.723,0.93,,1.3643,11.4723,,5332981.4299,5332981.4299
600262.SH,20260203,4.5706,0.68,20.2214,2.892,1.4694,1.0551,509150.0,509150.0
002375.SZ,20260203,1.4131,0.92,18.0472,0.6934,0.5311,1.6001,568158.5152,562560.528
000799.SZ,20260203,6.7316,0.89,,4.9963,18.9481,1.0372,1879714.1493,1879549.2768
300333.SZ,20260203,1.827,0.89,,6.2801,30.669,,364224.0,362901.5926
301230.SZ,20260203,9.003,0.84,185.8656,6.7817,10.1887,1.0112,680065.9396,612000.3238
002386.SZ,20260203,1.8887,0.64,,1.0307,0.6518,,774480.0084,774335.6995
300720.SZ,20260203,2.0287,0.3,171.2635,11.3227,29.5717,0.4409,662972.4249,594166.0734
600006.SH,20260203,0.5432,0.51,56.0036,1.642,1.3782,0.0728,1374000.0,1374000.0
603520.SH,20260203,1.4144,0.7,,1.7449,1.898,1.4493,453754.2268,453754.2268
300703.SZ,20260203,2.7507,0.68,36.7568,5.0382,2.1806,0.5756,470101.135,442138.0853
002983.SZ,20260203,16.4213,2.58,42.6751,4.3868,5.1022,1.5193,587791.6752,336721.6165
002668.SZ,20260203,1.3938,1.35,9.041,3.1147,0.5646,,1059176.8652,1059176.8652
920694.BJ,20260203,1.3086,0.7,24.9757,2.9972,3.6367,1.1692,262195.6249,124043.5254
600960.SH,20260203,1.1468,0.68,,1.3196,1.483,,487614.4607,487614.4607
601099.SH,20260203,1.6133,0.58,85.8723,2.8443,18.9689,,2828771.2936,2828771.2936
600526.SH,20260203,1.455,0.94,17.7645,1.1349,1.0855,1.7533,507449.3216,498487.0769
300938.SZ,20260203,7.2133,0.61,46.9173,4.8602,11.4452,0.7319,882187.2688,615023.6258
002968.SZ,20260203,2.1421,0.69,26.7421,2.3998,0.9594,2.5437,295745.0624,278595.0985
300793.SZ,20260203,2.1753,0.73,,2.0323,2.8145,0.7435,607730.9495,594222.725
002378.SZ,20260203,5.8496,0.65,129.2416,12.4414,5.8922,0.3105,2786087.5675,2771486.4547
600488.SH,20260203,0.6822,0.66,281.4294,1.517,1.5953,2.3333,458592.4056,458592.4056
001268.SZ,20260203,5.0965,1.04,50.2355,3.9528,5.0252,1.1856,405829.3358,236629.3358
601198.SH,20260203,0.9443,1.01,20.1273,1.509,9.0139,1.2117,4428450.3624,4428450.3624
600276.SH,20260203,0.782,0.61,51.0758,6.4103,12.3111,0.3476,38143987.6759,36660126.0687
605333.SH,20260203,0.4481,0.56,20.7171,3.9834,1.6552,0.7384,1360566.4704,1280627.4695
002035.SZ,20260203,1.1799,0.87,12.0356,1.3524,0.8827,4.744,525545.2432,484863.3535
605081.SH,20260203,2.4396,0.65,,1.3342,13.2623,,119022.6727,119022.6727
301317.SZ,20260203,8.8246,0.77,15.803,4.653,7.3655,1.4628,625930.58,207847.3908
301306.SZ,20260203,11.0602,1.29,,10.0323,30.448,,918272.0,634304.0
601002.SH,20260203,3.9843,1.61,25.9987,1.2941,2.314,1.7361,549757.8547,549757.8547
688121.SH,20260203,1.7481,0.95,22.9329,1.0592,1.1134,,275664.5235,239146.6671
002047.SZ,20260203,1.0376,0.54,,,5.8554,,656535.6841,656502.3513
300210.SZ,20260203,1.7226,0.54,,11.4465,13.4285,,472598.6741,472145.8052
002611.SZ,20260203,2.8807,0.73,32.4823,4.0538,4.5498,0.7155,2211809.2798,1820993.2336
603528.SH,20260203,1.5918,0.88,,3.6174,16.6907,0.5097,687575.9476,687575.9476
688609.SH,20260203,1.4408,0.56,,5.0858,1.891,,452000.0,452000.0
301041.SZ,20260203,3.6245,0.8,123.9994,4.5853,4.2806,0.3445,305958.24,226344.3927
300067.SZ,20260203,7.4025,0.94,,2.4368,6.0736,0.1898,608355.4005,494053.8999
920527.BJ,20260203,1.3111,0.79,50.7721,2.7492,2.8054,0.8424,105495.0239,63768.0959
603329.SH,20260203,1.4253,1.04,81.2552,2.0734,0.6399,0.1634,291559.6701,240642.6398
000700.SZ,20260203,10.2629,1.34,29.389,3.6551,1.9425,2.2081,1358662.7757,1358662.7757
603069.SH,20260203,2.0493,0.91,,8.9183,10.5684,,721744.0,721744.0
600976.SH,20260203,0.5877,0.61,16.0168,2.0239,1.6458,2.6416,522629.0302,522288.3302
300947.SZ,20260203,3.1826,0.83,136.2489,2.3928,2.4471,,298950.3627,298831.7519
300846.SZ,20260203,21.4765,1.08,,16.14,10.8747,,1380952.4599,1077613.148
000007.SZ,20260203,1.8243,0.76,68.4782,21.2414,8.5676,,388021.8093,388021.8093
003816.SZ,20260203,0.4775,1.03,20.6154,1.5727,2.3015,2.474,19391466.6624,15104634.6624
000788.SZ,20260203,1.8408,0.44,25.9796,2.336,2.1236,0.9585,373088.1281,373088.1281
920931.BJ,20260203,3.4586,0.49,69.3027,3.2391,3.6438,0.7413,126711.57,38818.5542
002632.SZ,20260203,2.5295,0.57,37.2038,3.5663,5.0441,2.1242,764509.2862,712228.4775
301277.SZ,20260203,0.4336,0.57,40.4059,3.284,7.4564,2.2409,499899.96,499899.96
300142.SZ,20260203,2.3611,0.42,404.9955,2.0699,8.3137,0.3208,1994387.6306,1940262.8401
920508.BJ,20260203,3.1348,1.26,125.4002,7.4239,16.9795,0.7006,142740.0,74331.855
002332.SZ,20260203,1.0277,0.73,33.0358,1.5342,2.519,4.3764,904133.2475,899900.3719
002762.SZ,20260203,1.1859,0.78,,3.1744,7.0139,0.7225,244985.3,146273.8763
603232.SH,20260203,4.3165,0.53,562.4612,3.9441,12.2859,0.2206,530664.3361,524357.0887
300025.SZ,20260203,2.2093,0.86,,5.6233,4.8296,,303240.5815,301809.7041
300605.SZ,20260203,3.8193,0.63,,5.526,7.0602,,268020.6684,193926.6836
300033.SZ,20260203,2.768,0.85,79.8386,25.3105,37.1404,0.8776,18989644.8,11061416.9836
301223.SZ,20260203,1.1109,0.59,22.9982,1.2823,1.2224,1.7646,380654.4208,220781.6833
000655.SZ,20260203,2.9174,0.47,22.2048,1.7669,3.61,2.0508,609628.3955,609628.3955
605009.SH,20260203,0.7072,0.87,22.4555,1.9659,1.8456,1.9528,665629.1462,665542.4862
688458.SH,20260203,3.0743,0.65,,2.5314,8.7149,,468788.4517,357543.0778
688648.SH,20260203,3.8582,0.81,13.6654,3.6373,7.1778,,811240.0,414740.0317
300403.SZ,20260203,2.2358,0.61,36.9609,3.8801,7.0676,0.7267,829728.0,587639.504
301105.SZ,20260203,5.1991,0.72,,3.022,14.0483,,252200.0,82910.7349
301611.SZ,20260203,5.9538,0.71,158.4943,30.26,50.4789,0.0834,5225460.0,1756793.5157
000885.SZ,20260203,0.9014,0.71,7.4007,0.9616,1.2993,2.5948,880931.3659,880931.3659
