ts_code,trade_date,turnover_rate,volume_ratio,pe_ttm,pb,ps_ttm,dv_ttm,total_mv,circ_mv
688366.SH,20260127,0.413,1.05,28.0247,1.9491,4.2694,2.1158,1076722.6487,906222.1629
000670.SZ,20260127,19.225,1.55,,126.6024,1.6759,,770389.4326,749538.9238
301608.SZ,20260127,3.0931,0.96,39.0149,4.0836,5.3046,0.8684,863647.95,387590.0408
000800.SZ,20260127,0.328,1.07,54.5231,1.3024,0.5989,0.7153,3439975.4015,3439681.6174
002672.SZ,20260127,0.876,0.99,,1.7279,1.5385,,526101.7618,430836.3118
300628.SZ,20260127,3.6312,2.72,18.8962,5.5361,8.2655,4.7365,4802176.7926,2751117.8843
603324.SH,20260127,2.0139,0.85,68.6799,2.4158,3.1525,0.4536,406118.845,406118.845
002975.SZ,20260127,5.4962,0.95,106.7617,6.0521,8.8459,0.2596,1349908.1357,891438.4706
301456.SZ,20260127,3.9264,0.74,69.8462,2.144,7.7271,0.6376,471954.7643,189788.7133
300606.SZ,20260127,17.6689,0.58,,6.7884,8.0499,0.3623,458207.9997,389737.8976
301031.SZ,20260127,8.5918,0.76,47.0061,10.3268,7.6902,0.3426,1452714.642,1012916.082
300907.SZ,20260127,2.2185,0.82,44.4704,3.7112,2.7058,,296544.0,296544.0
000868.SZ,20260127,1.8265,1.07,914.9693,5.4739,1.3364,,465999.3086,363730.8953
300702.SZ,20260127,1.7571,0.92,48.5616,2.503,3.1189,0.1868,931186.8775,565076.1565
001319.SZ,20260127,9.2359,0.89,32.2371,3.2415,3.7773,1.2687,434663.6,252068.2306
000715.SZ,20260127,3.1024,0.75,30.4593,1.7606,4.5573,1.2019,345878.1581,344955.7766
603535.SH,20260127,0.7257,0.77,27.7309,1.9734,3.9587,0.5979,519603.845,519603.845
300001.SZ,20260127,3.1295,0.98,25.6198,3.6911,2.0116,0.5307,2960783.285,2893514.8773
000887.SZ,20260127,2.6447,0.76,19.1147,2.0411,1.523,0.9141,2880479.5664,2875842.8903
605577.SH,20260127,0.6101,0.78,22.8881,1.5654,4.0262,1.0714,622222.223,622222.223
603106.SH,20260127,2.1003,0.86,59.0341,4.2303,12.4132,0.2822,553312.76,553312.76
688568.SH,20260127,3.6726,0.76,173.4508,15.8113,17.6774,0.1155,6113925.0482,6113925.0482
601101.SH,20260127,0.957,1.16,23.2181,0.9059,1.2724,6.0263,1094398.4238,1094398.4238
000795.SZ,20260127,2.068,0.94,49.2031,4.5804,3.0773,2.4153,1190368.3082,1190368.3082
603567.SH,20260127,2.7926,0.97,,1.0677,4.8793,1.8135,778204.1179,777000.0133
301188.SZ,20260127,2.1971,0.95,97.7287,2.9971,4.678,0.5014,454228.991,454228.991
603939.SH,20260127,1.1837,0.77,17.6918,2.6526,1.2044,2.9204,2906103.5257,2906103.5257
300441.SZ,20260127,1.5678,0.63,17.6327,2.0716,2.8218,3.7783,511666.1992,497480.0338
301349.SZ,20260127,7.526,1.12,282.631,1.9377,4.8614,,528360.0,253340.0678
603331.SH,20260127,32.8425,7.84,46.9899,2.5268,2.1935,0.4825,335207.2045,335207.2045
301248.SZ,20260127,10.7657,1.08,6242.1898,5.0804,9.884,0.0395,776056.545,567147.6063
002565.SZ,20260127,16.973,1.22,324.5793,9.8668,14.3141,0.2242,1840140.7686,1840062.6486
603345.SH,20260127,1.2497,0.82,21.1223,1.9369,1.8998,2.7649,2929609.7123,2578056.2993
600375.SH,20260127,2.5133,0.58,17.8003,3.0341,1.8136,,1014744.1753,925880.0861
601699.SH,20260127,1.1335,1.01,31.9335,0.8233,1.2705,3.1857,3849943.6404,3849943.6404
300667.SZ,20260127,4.8966,0.71,,3.3736,5.3072,,382260.1209,322473.7254
688787.SH,20260127,5.0478,0.65,766.4176,12.3026,27.9247,0.2331,898784.8568,898784.8568
300755.SZ,20260127,0.9635,1.07,,2.3331,1.0027,0.5564,681465.384,680889.0138
600163.SH,20260127,1.625,0.59,19.2954,1.583,6.373,1.436,1099931.7707,1099931.7707
301063.SZ,20260127,2.831,0.93,46.4731,1.7612,1.5463,0.5669,276138.4757,265781.7777
