pool_rank,trade_date,symbol,name,close,price_factor_score,action,target_weight,recommendation_tier,model_version,risk_flags,reason,review_required,amount,amount_yi,pct_change,intraday_position_pct,amplitude_pct_display,gap_pct_display,strength_score,liquidity_score,close_position_score,stability_score,tradability_score,source_time
18,2026-06-14,600352,浙江龙盛,11.46,79.8,buy,0.05,core_candidate,quality_first_v2,,全A实时初筛评分 79.8；涨跌幅 6.80%；成交额 14.63亿；日内收盘位置 89%；振幅 7.92%；核心候选，入选原因是强势、流动性、收盘位置和可交易性综合较优,True,1462996260.0,14.63,6.803,89.4,7.92,2.33,0.829,0.7228997289972899,0.8941176470588239,0.5065237651444539,1.0,15:00:03
19,2026-06-14,603399,永杉锂业,20.45,79.69,buy,0.05,core_candidate,quality_first_v2,,全A实时初筛评分 79.7；涨跌幅 6.62%；成交额 31.66亿；日内收盘位置 77%；振幅 8.50%；核心候选，入选原因是强势、流动性、收盘位置和可交易性综合较优,True,3165534830.0,31.66,6.621,76.7,8.5,2.97,0.803,0.8868563685636857,0.7668711656441722,0.45846367744178007,1.0,15:00:00
20,2026-06-14,603083,剑桥科技,182.99,79.48,watch,0.0,watch_candidate,quality_first_v2,,全A实时初筛评分 79.5；涨跌幅 6.96%；成交额 70.36亿；日内收盘位置 54%；振幅 6.66%；观察候选，入选原因是强势、流动性、收盘位置和可交易性综合较优,True,7035763777.0,70.36,6.962,54.3,6.66,3.46,0.8517142857142856,0.9634146341463414,0.5434591747146624,0.6118580001558733,1.0,15:00:03
21,2026-06-14,300342,天银机电,53.38,79.4,buy,0.05,core_candidate,quality_first_v2,,全A实时初筛评分 79.4；涨跌幅 6.21%；成交额 27.60亿；日内收盘位置 77%；振幅 7.76%；核心候选，入选原因是强势、流动性、收盘位置和可交易性综合较优,True,2759643449.0,27.6,6.208,76.9,7.76,1.67,0.744,0.8644986449864499,0.7692307692307695,0.5200291815890705,1.0,15:35:15
22,2026-06-14,000878,云南铜业,17.27,78.84,buy,0.05,core_candidate,quality_first_v2,,全A实时初筛评分 78.8；涨跌幅 7.40%；成交额 17.50亿；日内收盘位置 67%；振幅 7.96%；核心候选，入选原因是强势、流动性、收盘位置和可交易性综合较优,True,1749794482.0,17.5,7.4,67.2,7.96,2.05,0.9142857142857144,0.768970189701897,0.671874999999999,0.5033167495854056,1.0,15:00:00
23,2026-06-14,002741,光华科技,29.63,78.73,buy,0.05,core_candidate,quality_first_v2,,全A实时初筛评分 78.7；涨跌幅 7.24%；成交额 21.72亿；日内收盘位置 75%；振幅 10.86%；核心候选，入选原因是强势、流动性、收盘位置和可交易性综合较优,True,2171946058.0,21.72,7.239,74.7,10.86,1.88,0.8912857142857142,0.8184281842818428,0.7466666666666661,0.2618530582699964,1.0,15:00:00
24,2026-06-14,002171,楚江新材,13.59,78.67,buy,0.05,core_candidate,quality_first_v2,,全A实时初筛评分 78.7；涨跌幅 5.51%；成交额 22.32亿；日内收盘位置 85%；振幅 6.37%；核心候选，入选原因是强势、流动性、收盘位置和可交易性综合较优,True,2231944479.0,22.32,5.512,85.4,6.37,1.71,0.6445714285714285,0.8218157181571816,0.8536585365853647,0.6361283643892338,1.0,15:00:00
25,2026-06-14,000958,电投产融,6.41,78.63,buy,0.05,core_candidate,quality_first_v2,,全A实时初筛评分 78.6；涨跌幅 9.01%；成交额 11.09亿；日内收盘位置 91%；振幅 10.88%；核心候选，入选原因是强势、流动性、收盘位置和可交易性综合较优,True,1108568025.0,11.09,9.014,90.6,10.88,-0.85,0.9112750000000001,0.6334688346883469,0.9062500000000006,0.25963718820861725,1.0,15:00:00
26,2026-06-14,002601,龙佰集团,15.34,78.35,buy,0.05,core_candidate,quality_first_v2,,全A实时初筛评分 78.3；涨跌幅 6.45%；成交额 10.16亿；日内收盘位置 100%；振幅 8.61%；核心候选，入选原因是强势、流动性、收盘位置和可交易性综合较优,True,1016265037.0,10.16,6.454,100.0,8.61,0.83,0.7791428571428571,0.6029810298102981,1.0,0.4495720564422855,1.0,15:00:00
27,2026-06-14,000776,广发证券,20.08,78.34,buy,0.05,core_candidate,quality_first_v2,,全A实时初筛评分 78.3；涨跌幅 4.86%；成交额 24.89亿；日内收盘位置 84%；振幅 6.16%；核心候选，入选原因是强势、流动性、收盘位置和可交易性综合较优,True,2488955285.0,24.89,4.856,83.9,6.16,0.0,0.5508571428571428,0.8502710027100271,0.8389830508474565,0.6531766753698869,1.0,15:00:00
28,2026-06-14,002428,云南锗业,92.26,78.28,buy,0.05,core_candidate,quality_first_v2,,全A实时初筛评分 78.3；涨跌幅 4.56%；成交额 118.55亿；日内收盘位置 82%；振幅 7.24%；核心候选，入选原因是强势、流动性、收盘位置和可交易性综合较优,True,11855041837.0,118.55,4.556,82.3,7.24,1.43,0.508,0.9871273712737128,0.8231611893583732,0.5631988516168027,1.0,15:00:00
29,2026-06-14,300438,鹏辉能源,75.18,78.09,watch,0.0,watch_candidate,quality_first_v2,high_intraday_amplitude,全A实时初筛评分 78.1；涨跌幅 7.57%；成交额 27.29亿；日内收盘位置 66%；振幅 13.42%；观察候选，入选原因是强势、流动性、收盘位置和可交易性综合较优,True,2728774990.0,27.29,7.569,65.9,13.42,0.73,0.9384285714285714,0.8631436314363143,0.6588486140724957,0.04824247627223799,1.0,15:35:45
30,2026-06-14,001203,大中矿业,43.11,78.05,buy,0.05,core_candidate,quality_first_v2,,全A实时初筛评分 78.0；涨跌幅 4.92%；成交额 18.33亿；日内收盘位置 93%；振幅 6.57%；核心候选，入选原因是强势、流动性、收盘位置和可交易性综合较优,True,1832815792.0,18.33,4.916,93.0,6.57,-0.22,0.5594285714285715,0.7784552845528455,0.9296296296296304,0.6190881804169719,1.0,15:00:00
